SID,REGION,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,ADM3,TYPE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
S746,Northern,Булган,MN63,Булган,MN6308,Булган,Sheep,0.25,0.14,55.11,0.1,0.12,0.18,0.62,52.18,0.13,3.14,0.16,0.41,3.04,3.64,3.77,4.09,4.26,4.29,6.28,8.71,13.06,16.33,20.34,25.81,25.17,25.9,24.33,26.44,28.3,29.35,26.32,22.56,20.5,18.24,20.4,23.65,29.43,28.67,34.9,33.54,22.73,24.99,27.51,28.68,29.26,29.66,33.51,29.96,29.35,31.27,28.06
S753,Northern,Булган,MN63,Баян-Агт,MN6318,Баян-Агт,Sheep,49.66,53.66,53.89,54.38,55.83,54.38,54.6,55.36,58.24,53.02,56.34,56.85,58.88,60.58,62.45,58.31,54.74,53.14,55.85,56.88,59.95,58.37,62.31,57.11,47.5,47.23,50.65,55.22,61.19,64.9,64.16,62.15,63.53,50.57,59.89,66.29,77.66,89.72,104.93,106.35,94.2,95.79,107.75,115.58,132.27,138.58,153.63,158.33,160.65,167.62,121.1
S760,Northern,Булган,MN63,Баяннуур,MN6301,Баяннуур,Sheep,0,0,0,0,0,0,0,0,0,0,6.56,10.95,12.51,11.32,11.94,12.15,12,13.55,14.61,16.59,17.79,18.59,24.24,30.59,29.36,31.72,31.23,35.03,35.17,34.25,30.25,28.51,21.65,8.02,8.26,12.41,16.3,23.06,31.98,45.22,40.37,44.69,49.96,52.54,61.91,63.16,64.12,57.21,55.79,67.84,69.23
S763,Northern,Булган,MN63,Бугат,MN6309,Бугат,Sheep,19.69,22.28,23.59,23.49,23.87,24.39,23.3,22.24,25.79,27.48,28.29,28.22,29.93,29.74,30.9,29.22,25.16,21.92,23.37,23.71,24.48,24.94,25.42,21.29,21.33,18.29,18.59,18.08,21.18,25.69,21.85,19.97,19.11,16.45,16.79,19.17,22.8,30.41,36.95,41.44,32.05,28.01,31.69,33.56,37.53,42.26,47.72,50.16,50.67,49.11,44.55
S767,Northern,Булган,MN63,Бүрэгхангай,MN6305,Бүрэгхангай,Sheep,40.7,43.85,43.81,45.9,46.34,45.25,38.12,34.38,37.06,38.1,41.11,41.89,42.37,42.49,40.74,39.18,36.1,28.35,34.34,36.51,37.27,34.49,28.57,23.23,22.61,21.92,23.65,26.2,29.93,43.92,59.28,66.78,51.14,40.45,40.01,47.91,57.04,72.61,90.46,100.39,103.71,112.3,124.19,138.68,156.59,159.56,175.78,141.93,150.48,170.66,168.74
S772,Northern,Булган,MN63,Гурванбулаг,MN6312,Гурванбулаг,Sheep,61.9,66.61,70.37,74.71,78.18,81.72,80.55,75.12,84.79,86.67,87.21,86.82,89.94,84.26,66.18,61.39,59.25,60.7,61.02,51.51,68.66,69.86,74.5,71.7,66.15,66.51,67.99,74.27,81.69,93.99,85.89,82.23,75.89,58.23,65.78,74.27,90.65,111.44,130.54,149.55,149.6,136.65,164.12,182.62,190.6,175.1,192.06,180.07,156.98,180.87,183.02
S779,Northern,Булган,MN63,Дашинчилэн,MN6306,Дашинчилэн,Sheep,68.48,73.23,76.54,82.59,83.18,84.72,79.53,44.02,51.26,59,56.43,54.38,58.09,57.75,55.84,53.83,50.44,49.77,49.59,65.7,57.41,59.59,59.8,53.7,47.6,48.55,50.5,57.72,67.77,80.19,68.13,71.28,57.75,33.37,34.17,40.56,51.72,65.16,77.68,90.27,94.7,95.44,104.01,112.66,127.47,142.43,144.94,129.66,125.1,145.26,146.78
S784,Northern,Булган,MN63,Могод,MN6315,Могод,Sheep,56.16,59.45,60.2,60.99,62.87,62.73,63.3,66.4,67.73,62.26,65.35,65.69,68.57,64.9,63.64,51.21,46.55,46.68,48.53,50.8,54.25,56.64,56.14,46.45,47.01,47.96,52.79,58.44,65.99,76.94,74.11,76.28,67.16,57.68,67.61,76.68,88.11,105.92,127.8,140.07,111.3,118.37,138.06,155.16,170.98,172.49,194,192.38,188.79,208.37,201.63
S790,Northern,Булган,MN63,Орхон,MN6304,Орхон,Sheep,58.81,62.69,63.13,64.48,67.97,65.26,57.35,58.3,59.42,51.68,48.73,49.39,50.54,50.12,48.23,47.36,42.16,39.9,42.81,42.99,44.43,45.89,49.82,45.66,47.25,48.88,46.28,47.02,48.79,56.17,57.32,53.05,46.71,38.23,39.9,48.59,58.93,68.11,83.44,98.96,83.89,83.65,96.65,104.16,142.66,146.94,165.61,152.93,149.59,156.62,147.47
S796,Northern,Булган,MN63,Рашаант,MN6307,Рашаант,Sheep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.34,6.65,10.31,13.06,17.94,21.42,24.08,24.8,23.06,25.71,24.91,23.09,23.79,22.59,24.34,25.91,16.55,19.09,19.89,18.84,22.03,24.66,30.14,39.33,51.88,63.61,60.16,64.12,76.16,83.15,93.65,97.48,105.21,102.9,100.71,108.27,100.99
S801,Northern,Булган,MN63,Сайхан,MN6316,Сайхан,Sheep,47.55,53.38,53.23,55.1,55.97,55.94,53.25,48.38,55.31,56.16,58.92,59.83,62.38,55.84,55.4,51.52,46.01,45.29,47.88,52.28,57.89,58.12,67.11,61.25,63.45,61.94,66.92,76.64,87.49,96.61,96.08,91.68,86.87,74.27,80.4,96.21,113.27,129.99,156.55,170.18,130.89,126.4,148.63,166.46,195.27,201.01,210.07,216.59,216.51,229.11,171.83
S808,Northern,Булган,MN63,Сэлэнгэ,MN6302,Сэлэнгэ,Sheep,7.13,7.01,7.5,7.95,8.56,8.98,9.29,8.16,8.88,9.88,10.47,11.25,12.05,12.17,12.42,13.26,13.66,13.96,14.78,14.82,15.81,16.79,17.07,16.54,17.44,19.03,20.5,20.59,20.27,19.52,17.13,16.31,16.69,11.69,13.68,16.29,19.14,25.5,33.14,36.52,30.37,33.88,35.45,36.39,35.97,38.98,42.9,38.17,40.09,40.73,39.74
S814,Northern,Булган,MN63,Тэшиг,MN6310,Тэшиг,Sheep,21.65,21.71,21.87,22.46,23.4,23.55,19.26,14.81,16.3,16.98,18.16,19.51,22.25,22.88,23.3,22.61,17.68,16.66,17.66,18.5,20.03,19.24,20.75,19.86,19.1,18.31,19.13,19.6,20.84,21.84,21.15,19.96,21.32,18.99,21.19,23.66,26.97,29.07,33.36,34.9,29.92,27.77,27.82,24.72,27.92,29.27,32.02,31.31,33.43,32.63,30.15
S820,Northern,Булган,MN63,Хангал,MN6303,Хангал,Sheep,22.85,24.77,26.33,27.08,27.93,26.74,23.1,23.81,23.59,24.39,23.92,24.89,25.24,25.8,25.91,24.6,19.63,17.75,18.33,16.79,16.94,16.71,16.43,14.02,19.51,15.85,15.17,16.28,18.27,19.7,18.8,16.72,23.85,12.46,13.23,14.86,18.77,25.86,33.29,37.86,30.09,28.58,29.82,27.07,30.35,32.59,34.7,35.65,35.33,35.37,35.41
S825,Northern,Булган,MN63,Хишиг-Өндөр,MN6311,Хишиг-Өндөр,Sheep,45.09,47.27,21.16,49.65,49.65,46.98,40.33,0,37.98,37.07,39.28,40.21,40.74,38.28,38.09,36.68,34.66,32.31,33.98,36.46,38.28,41.84,43.41,38.75,39.54,39.63,40.74,43.03,50.27,56.34,54.06,48.04,42.57,37.41,37.76,44.69,53.35,62.9,75.2,84.16,74.07,77.71,85.43,92.74,108.19,109.03,125.57,128.24,121.94,136.33,136.34
S831,Northern,Булган,MN63,Хутаг-Өндөр,MN6314,Хутаг-Өндөр,Sheep,53.98,55.56,46.66,54.27,77.62,74.51,57.94,35.3,49.08,47.05,51.54,54.6,57.28,57.11,58.64,54.86,39.65,37.04,39.39,40.5,42.09,44.25,45.1,44.52,44.57,43.51,42.44,44.92,49.1,52.88,53.39,50.99,53.81,45.63,52.19,59.22,71.18,82.18,97.56,99.71,91.72,89.62,93.57,95.4,108.16,119.29,139.44,148.93,162.81,163.77,140.68
S838,Northern,Баянхонгор,MN64,Баянхонгор,MN6409,Баянхонгор,Sheep,1.02,0.82,0.39,0.44,0.19,3.97,2.22,2.22,4.71,4.88,3.1,3.49,3.8,4.38,4.83,2.7,3.16,3.97,4.32,8.13,15.4,12.3,25.47,26.45,32.64,33.78,34.55,34.55,31.33,36.81,37.29,19,10.53,14.48,17.72,20.9,23.93,30.88,35.35,36.12,31.33,33.75,49.31,50.11,54.09,47.9,55.3,58.13,53.1,57.32,49.25
S849,Northern,Баянхонгор,MN64,Баацагаан,MN6415,Баацагаан,Sheep,50.09,51.1,55.96,57.54,60.49,65,62.18,67.7,66.75,64.7,65.81,70.64,76.61,79.08,64.07,58.82,58.25,60.5,55.25,57.76,60.58,63.76,68.67,65.4,68.96,71.39,58.53,60.49,59.85,62.39,69.4,37.28,6.65,8.73,10.75,14.55,17.2,22.72,27.96,29.27,21.32,29,38.65,42.98,51.67,61.06,71.8,73.54,62.31,71.01,48.97
S857,Northern,Баянхонгор,MN64,Баянбулаг,MN6426,Баянбулаг,Sheep,43.98,44.7,44.44,43.8,44.94,47.25,45.16,50.99,52.3,57.54,61.49,63.73,65.08,60.58,34.51,39.27,36.01,38.92,36.03,37.7,42.08,47.72,50.17,32.94,40.33,43.93,46.88,50.13,49.9,49.99,37.47,34.81,30.38,32.37,34.83,39.31,45.77,50.32,51.13,50.99,29.47,31.49,40.25,43.01,48.39,52.17,61.14,70.82,72.57,76.32,55.13
S862,Northern,Баянхонгор,MN64,Баянговь,MN6143,Баянговь,Sheep,31,28.06,31.69,31.42,32.79,34.84,36.91,38.94,38.48,34.57,30.27,30.58,32.66,31.49,23.36,22.52,21.69,21.7,17.37,17.84,19.67,21.03,24.38,26.5,32.62,33.33,33.39,32.22,30.4,30,30.36,12.74,3.22,4.55,5.41,7.26,9.25,11.92,14.39,15.87,9.25,9.47,11.35,14.77,18.78,22.49,27.59,32.43,30.06,33.15,25.29
S868,Northern,Баянхонгор,MN64,Баянлиг,MN6401,Баянлиг,Sheep,19.67,19.89,21.67,22.28,22.24,23.36,24.17,24.81,27.38,23.21,22.35,21.25,22.41,21.34,16.95,15.7,16.48,17.1,16.84,18.56,19.99,21.97,23.64,26.9,30.91,33.98,32.11,29.74,27,29.84,32.33,17.17,5.33,6.57,8.03,10.32,12.4,16.36,19.72,22.66,14.71,16.2,19.52,22.41,26.99,30.56,34.17,36.2,31.78,36.18,24.97
S874,Northern,Баянхонгор,MN64,Баян-Овоо,MN6408,Баян-Овоо,Sheep,47.65,49.35,53.34,51.11,60.32,62.54,63.44,67.22,66.27,67.89,70.85,73.19,73.79,69.25,53.49,50.61,48.54,49.92,37.13,43.3,51.25,54.23,52.32,40.95,43.25,46.57,46.61,49.25,59.63,60.93,55.29,26.24,28.33,25.08,30.81,35.7,45.35,54.83,59.68,66.35,50.29,65.33,96.46,84.89,104.37,107.03,121.24,121.39,113.37,135,113.54
S879,Northern,Баянхонгор,MN64,Баян-Өндөр,MN6425,Баян-Өндөр,Sheep,22.05,23.06,24.94,24.36,26.86,25.82,21.49,21.33,21.1,20.57,22.33,23.37,23.95,24.78,23.35,23.55,22.36,22.43,19.94,20.15,21.71,20.19,20.7,18.03,21.45,22.66,22.15,25.7,27.19,26.88,27.31,15.46,7.72,9.87,12.23,14.69,16.47,18.75,20.51,18.69,10,10.79,13.84,16.67,19.38,22.65,27.37,32.65,27.25,24.45,19.86
S884,Northern,Баянхонгор,MN64,Баянцагаан,MN6421,Баянцагаан,Sheep,58.8,56.02,61.64,62.48,67.64,77.13,77.48,81.6,79.12,72.4,73.62,77.04,76.69,75.3,62.56,64.87,65.34,65.02,58.67,57,60.84,55.08,60.42,55.56,64.54,68.69,61.91,70.05,71.3,68.61,72.43,43.15,10.69,14.93,18.94,22.71,25.92,29.57,32.78,28.17,17.81,22.86,31.85,32.28,41.66,50.24,62.84,70.54,59.75,59.9,36.61
S890,Northern,Баянхонгор,MN64,Богд,MN6405,Богд,Sheep,20.77,20.48,22.97,24.38,25.48,25.46,26.06,27.18,26.28,24.63,22.77,22.43,23.49,24.04,21.74,17.8,18.89,19.83,18.55,19.22,21.78,24.79,26.63,28.18,31.05,32.82,30.57,30.08,32.76,34.52,35.82,19.52,7.35,8.65,10.48,12.7,15.36,19.21,23.26,27.13,19.57,21.57,24.55,28.6,33.92,37.61,42.66,43.11,38.73,41.38,27.21
S897,Northern,Баянхонгор,MN64,Бөмбөгөр,MN6417,Бөмбөгөр,Sheep,32.28,31.6,34.19,33.72,36.72,41.1,38.15,40.49,38.94,36.86,38.37,39.36,39.64,35.65,27.08,26.65,27.49,28.93,30.02,28.43,31.41,30.81,30.71,31.82,34.01,33.32,30.47,31.72,33.28,33.82,36.68,16.9,3.64,4.91,6.05,8.41,10.85,14.26,16.86,16.93,16.95,21.14,29.55,34.99,44.29,52.25,65.25,73.82,74.18,81.93,70.7
S902,Northern,Баянхонгор,MN64,Бууцагаан,MN6422,Бууцагаан,Sheep,49.14,49.84,54.54,57.31,61.99,62.44,63.23,67.51,67.24,64.29,66.36,68.53,68.32,62.57,49.39,52.35,55.77,57.9,61.87,64.33,68.72,71.14,73.2,65.19,72.65,73.25,65.92,68.21,69.81,68.69,72.99,50.45,13.61,17.11,20.8,26.22,31.93,37.37,41.64,41.68,32.7,35.76,42.23,47.25,56.3,62.55,71.87,79.66,70.24,75.46,59.81
S909,Northern,Баянхонгор,MN64,Галуут,MN6411,Галуут,Sheep,54.29,57.15,59,52.73,54.06,56.26,57.16,63.1,68.63,69.42,73.08,77.99,78.71,59.16,48.41,39.39,39.84,39.64,32.75,38,43.46,48.53,53.02,49.15,50.53,50.5,52.06,54.76,56.43,56.17,52.52,40.89,28.57,31.99,36.7,40.71,49.92,58.35,67.43,72.57,59.71,66.82,81.98,77.28,89.37,97.47,110.45,127.32,126.62,132.9,119.3
S916,Northern,Баянхонгор,MN64,Гурванбулаг,MN6423,Гурванбулаг,Sheep,57.33,63.16,65.55,58.55,54.26,56.05,49.43,56.62,60.76,64.03,68.21,73.14,67.86,63.81,54.55,39.79,38.09,38.86,38.46,41.95,44.25,47.26,46.07,31.98,34.9,37.6,37.87,41.78,42.69,42.42,30.59,35.64,34.99,35.79,37.39,40.54,46.03,54.34,55.97,56.69,30.62,34.39,41.73,44.11,52.3,61.44,71.34,84.28,95.79,100.15,91.67
S922,Northern,Баянхонгор,MN64,Жаргалант,MN6418,Жаргалант,Sheep,64.73,63.83,62.04,65.04,64.8,61.35,47.73,56.12,62.28,65.96,67.08,67.27,64.64,64.74,55.06,41.7,53.66,62.56,53.69,64.28,70.14,69.28,64.4,57,62.4,62.28,58.5,57.28,47.8,41.83,30.39,29.07,25.01,26,26.98,31.16,37.18,39.65,42.88,42.03,30.86,31.34,37.11,39.06,46.24,52,60.82,71.43,70.1,71.9,69.51
S927,Northern,Баянхонгор,MN64,Жинст,MN6407,Жинст,Sheep,35.52,36.55,38.6,38.76,41.14,41.6,41.7,41.7,40.15,37.19,33.56,31.67,32.55,31.51,29.07,25.7,27.23,29.49,26.73,27.86,30.57,32.6,33.88,31.83,34.07,35.88,30,32.52,33.68,35.29,37.55,19.75,4.27,5.4,6.83,8.34,10.47,13.94,17.98,21.49,14.87,17.31,21.67,26.37,31.79,38.07,43.57,50.08,42.51,48.95,37.08
S933,Northern,Баянхонгор,MN64,Заг,MN6420,Заг,Sheep,52.41,54.5,48.56,46.8,45.58,40.31,35.76,40.76,45.78,48.63,52.46,56.93,58.6,53.22,37.9,28.36,29.98,29.86,29.89,35.4,38.62,39.69,38.52,34.69,36.67,39.55,41.47,44.71,46.53,44.13,35.94,34.03,27.11,29.45,30.21,31.98,34.38,36.81,41.27,36.33,28.57,30.96,36.89,44.13,52.42,55.88,66,74.25,71.39,72.81,58.99
S938,Northern,Баянхонгор,MN64,Өлзийт,MN6403,Өлзийт,Sheep,52.31,52.77,50.35,50.3,49.65,51.62,49.72,50.88,51.34,53.31,57.48,60.03,60.28,51.65,43.49,39.62,36.03,36.19,30.22,33.23,35.94,36.77,37.33,31.07,32.41,33.05,34.21,36.87,41.56,47.67,47.53,28.84,11.84,14.36,18.04,22.66,28.68,36.36,42.75,46.8,43.08,50.04,58.95,65.45,77.04,84.89,84.05,90.88,83.07,97.17,85.47
S945,Northern,Баянхонгор,MN64,Хүрээмарал,MN6424,Хүрээмарал,Sheep,39.32,40.33,42.79,45.96,46.3,49.87,51.31,54.79,57.3,58.08,65.38,71.03,72.67,70.01,28.71,36.03,36.98,38.59,36.68,38.57,39.08,42.05,44.12,36.78,42.65,46.59,49.2,55.13,56.35,60.69,57.85,46.87,18.87,22.69,28.88,34.59,41.77,45.3,47.97,44.41,39,42.93,54.57,62.39,71.03,74.7,84.81,96,86.61,93.2,77.04
S951,Northern,Баянхонгор,MN64,Шинэжинст,MN6419,Шинэжинст,Sheep,22.31,22.87,27.47,28.05,27.66,26.84,25.1,24.69,22.62,22.22,20.65,20.97,21.67,20.67,13.33,13.58,14.46,14.51,11.48,12.22,13.51,15.04,17.94,19.68,23.51,22.14,20.36,21.22,21.27,21.71,22.14,8.99,3.02,3.87,4.94,5.76,6.77,8.62,10.87,12.08,6.67,6.26,8.26,10.35,13.23,15.82,20.57,23.79,22.02,23.41,19.34
S956,Northern,Баянхонгор,MN64,Эрдэнэцогт,MN6402,Эрдэнэцогт,Sheep,52.97,50.37,51.59,51.66,39.22,39.56,40.17,42.24,44.08,45.35,44.73,44.01,44.52,41.36,41.73,38.14,36.35,37.08,35.16,39.52,44.02,43.95,37.8,29.83,28.86,31.97,31.76,29.99,27.26,25.81,26.75,19.74,12.93,15.36,15.58,18.63,22.05,28.56,34.84,38.58,36.99,40.23,49.94,48.34,55.77,55.77,61.76,70.82,66.03,73.39,66.47
S964,Northern,Архангай,MN65,Эрдэнэбулган,MN6513,Эрдэнэбулган,Sheep,0.24,0.21,0.2,0.71,0.42,0.47,0.47,0.46,0.67,0.66,0.99,1.05,8.87,8.22,8.58,8.02,8.86,9.95,11.76,13.83,19.95,22.69,33.12,26,31,31.02,26.22,27.51,29.99,35.02,36.84,32.12,24.71,23.09,25.73,33.46,39.52,45.48,52.69,58.63,33.12,42.01,54.77,65.16,75.87,81.55,95.82,97.97,106.14,123.06,113.33
S972,Northern,Архангай,MN65,Батцэнгэл,MN6510,Батцэнгэл,Sheep,82.29,86.54,84.14,84.3,87.25,86.71,80.85,78.01,77.68,74.84,76.26,79.51,72.72,64.48,59.06,51.85,47.93,48.44,50.32,52.5,55.95,58.53,61.6,64.77,67.98,46.67,52.51,58.97,68.77,80.74,88.8,70.13,67.42,63.82,69.87,80.39,92.46,105.04,124.05,136.05,95.94,114.13,145.59,154.65,170.19,176.6,206.8,227.3,226.42,249.73,237.57
S979,Northern,Архангай,MN65,Булган,MN6512,Булган,Sheep,21.35,22.22,22.55,24.04,24.45,24.82,22,22.2,23.09,23.67,22.92,23.47,21.81,21.84,21.88,17.54,18.25,19.48,20.46,21.42,21.68,21.6,21.35,15.22,14.71,13.05,11.05,11.13,11.4,12.28,10.41,10.19,9.56,9.38,10.38,10.91,13.12,16.38,20.49,24.41,15.45,18.83,20.79,25.06,28.58,29.41,33.79,41.4,44.48,47.65,36.9
S984,Northern,Архангай,MN65,Жаргалант,MN6520,Жаргалант,Sheep,31.45,35.6,36.69,36.3,39.28,38.23,39.53,38.31,40.27,40.07,41.78,42.29,44.68,41.46,41.45,37.31,37.88,38.96,43.04,47.34,52.54,49.29,41.3,39.35,42.31,42.38,37.51,41.55,45.76,48.89,45.73,40.62,40,45.55,47.07,52.43,59.97,68.13,80.63,88.88,61.32,75.49,89.17,100.57,116.42,123.6,146.58,126.57,136.51,146.28,110.47
S990,Northern,Архангай,MN65,Их тамир,MN6517,Их тамир,Sheep,60.96,64.3,64.58,64.11,66.08,67.8,65.21,66.8,68.18,65.59,66.32,69.44,66.73,62.1,61.84,51.05,52.05,52.04,48.46,52.06,54.65,54.61,51.66,49.86,50.26,44.94,44.07,48.33,53.13,62.79,61.18,57.31,51.22,55.16,60.36,65.6,74.12,85.23,107.11,115.86,82.97,89.14,106.8,121.29,137.1,147.58,167.45,180.11,188.53,203.94,176.14
S997,Northern,Архангай,MN65,Өгийнуур,MN6502,Өгийнуур,Sheep,46.24,48.36,50.22,49.72,52.8,51.11,48.5,27.26,28.84,30.92,35.45,38.87,45.36,29.75,30.42,28.17,27.4,28.61,32.72,37.28,42.06,45.07,43.21,43.12,43.55,36.62,40.43,47.33,54.14,62.36,59.8,45.2,32.09,35.66,39.1,49.69,58.87,71.53,78.09,81.65,81.33,87.82,109.36,117.42,128.13,137.6,158.83,161.65,164.76,189.98,184.46
S1003,Northern,Архангай,MN65,Өлзийт,MN6503,Өлзийт,Sheep,37.82,41.35,40.53,42.1,43.37,45.79,46.41,72.37,43.53,43.45,44.49,47.6,46.18,36.84,34.03,32.23,28.69,28.22,30.99,34.16,39.92,40.59,39.92,32.62,32.15,27.39,29.21,32.86,37.01,43.43,45.25,41.35,37.99,35.12,39.43,47.79,58.06,71.17,96.96,102.69,78.76,81.64,103.25,116.18,128.52,134.35,160.1,174.33,180.21,206.56,187.99
S1008,Northern,Архангай,MN65,Өндөр-Улаан,MN6521,Өндөр-Улаан,Sheep,56.19,58.3,56.33,59.48,61.81,61.69,52.84,43.97,46.3,49.42,50.41,52.83,51.8,47.69,46.25,44.13,45.69,46.23,47.67,48.21,51.04,48.46,47.41,46.72,49.37,43.46,39.02,44.36,48.04,53.54,54.95,46.98,46.97,53.32,57.69,66.57,77.58,88.24,107.08,114.41,94.92,107.26,117.34,132.76,153.47,158.24,177.55,190.07,198.55,216.09,177.88
S1014,Northern,Архангай,MN65,Тариат,MN6523,Тариат,Sheep,56.19,60,62.28,64.2,65.59,66.4,64.63,60.56,62.74,65.67,66.93,68.87,59.28,53.62,47.85,49.16,49.85,51.86,52.34,56.14,62.94,54.48,53.78,52.44,53.82,50.72,52.87,55.38,54.92,57.41,50.51,32.18,32.52,36.46,40.8,47.83,56.2,63.66,81.99,88.13,79.64,87.6,85.82,95.61,111.19,118.5,125.19,141.15,156.36,178.45,140.31
S1022,Northern,Архангай,MN65,Төвшрүүлэх,MN6507,Төвшрүүлэх,Sheep,32.64,32.38,34.3,33.94,35.44,36.34,37.07,27.36,21.75,22.15,24.72,27.32,29.16,22.83,18.36,16.03,16.62,19.19,21.66,21.46,21.51,24.71,24.7,25.69,28.36,27.2,26.91,27.62,30.11,33.39,31.6,24.59,23.07,23.93,25.65,30.08,37.44,44.97,47.97,59.37,22.99,27.93,36.54,40.89,51.61,53.81,62.05,73.88,76.36,85.93,79.87
S1027,Northern,Архангай,MN65,Хайрхан,MN6506,Хайрхан,Sheep,35.89,38.84,38.76,36.8,39.62,36.44,35.57,34.64,33.59,33.73,36.26,38.87,33.3,30.97,29.59,28.58,30.66,32.03,34.8,36.75,39.75,40.81,40.86,41.91,42.99,41.44,43.11,48.31,51.82,53.1,53.58,49.68,50.27,55.63,56.25,62.79,73.48,85.24,105.99,118.71,99.53,107.81,123.09,141.15,163.09,166.02,195.01,225.66,250.32,278.84,221.43
S1033,Northern,Архангай,MN65,Хангайн бүс,MN6525,Хангайн бүс,Sheep,48.87,51.1,53.83,52.65,53.49,52.57,46.55,47.02,47.32,45.67,44.58,46.26,36.73,35.4,28.03,22.14,24.93,26.74,26.89,27.56,28.79,36.16,34.58,18.16,17.12,15.97,15.88,17.19,18.96,19.05,18.17,13.39,11.78,11.61,12.62,14.5,17.26,20.49,25.29,29.42,27.86,26.61,27.62,29.08,33.07,35.07,35.47,40.77,45.6,50.55,47.22
S1040,Northern,Архангай,MN65,Хашаат,MN6501,Хашаат,Sheep,66.23,68.65,74.94,82.82,76.8,71.26,69.23,30.92,66.21,66.48,70.58,80.83,83.2,67.92,56.57,46.44,47.24,51.85,56.83,61.32,67.53,73.92,78.54,78.76,74.49,75.16,79.54,86.06,96.67,109.64,84.01,81.52,71.62,67.22,72.31,80.39,97.03,116.27,130.21,148.67,132.91,109.47,132.95,143.33,158.11,169.59,188.08,197.61,191.45,217.42,198.3
S1046,Northern,Архангай,MN65,Хотонт,MN6504,Хотонт,Sheep,65.08,54.65,55.26,55.69,59.13,63.52,60.83,58.95,53.78,54.75,57.92,63.29,65.45,50.99,50.78,44.53,45.7,47.92,50.68,53.07,57.11,58.96,56.45,51.26,56.48,54.37,57.24,61.96,69.08,79.37,67.04,55.01,48.29,46.95,47.83,59.2,72.58,85.81,96.11,108.38,48.72,56.62,76.78,88.04,111.45,119.17,143.5,157.2,165.76,189.48,155.11
S1053,Northern,Архангай,MN65,Цахир,MN6527,Цахир,Sheep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.64,18.36,20.27,22.13,24.34,24.91,24.99,20.05,14.57,13.47,14.53,14.9,16.65,19.47,23.22,29.12,32.14,27.53,32.31,39.81,41.71,46.52,45.74,47.45,55.17,58.87,68.15,57.25
S1058,Northern,Архангай,MN65,Цэнхэр,MN6508,Цэнхэр,Sheep,42.33,42.24,43.23,42.4,45.29,48.01,44.53,38.35,40.25,41.93,42.85,45.95,45.3,40.85,38.64,30.94,31.49,30.16,32.47,35.52,37.5,39.51,37.04,34.25,36.2,33.61,34.34,36.63,41.42,47.78,44.63,39.85,35.39,34.68,35.62,42.75,51.51,59.18,64.45,78.25,42.16,57.53,74.75,86.65,105.57,113.43,134.24,144.86,150.29,169.09,146.99
S1065,Northern,Архангай,MN65,Цэцэрлэг,MN6519,Цэцэрлэг,Sheep,58.98,64.88,58.83,50.48,57.7,56.33,57.36,58.33,59.96,62.26,64.94,67.07,69.8,60,51.81,40.99,39.3,42.45,48.67,54.32,58.84,55.68,51.27,48.84,51.02,46.48,46.65,54.29,61.76,67.73,69.9,63.97,62.35,67.38,72.67,83.53,97.69,114.3,133.51,142.35,92.76,107.79,128.55,140.23,164.12,161.48,186.77,191.33,204.08,225.01,178.18
S1071,Northern,Архангай,MN65,Чулуут,MN6522,Чулуут,Sheep,35.72,36.67,39.6,40.67,42.93,44.23,42.34,44.39,44.24,42.9,37.31,39.02,36.23,37.23,34.72,34.24,34.99,36.18,31.42,32.03,35.34,37.24,36.64,36.5,34.97,31.15,30,31.75,31.78,32.59,28.26,23.76,20.52,22.02,24.92,28.33,32.44,38.89,46.67,53.66,46.3,48.68,55.05,63.89,72.88,74.68,86.64,89.35,91.58,103.66,89.37
S1077,Northern,Архангай,MN65,Эрдэнэмандал,MN6515,Эрдэнэмандал,Sheep,92.96,97.91,81.73,78.5,86.83,84.32,77.08,71.77,73.83,68.35,76.2,77.91,85.17,77.56,62.93,54.96,46.31,49.43,55.55,61.27,66.87,60.68,61.29,64.13,71.05,76.22,69.01,78.17,84.55,97.35,99.88,89.2,90.72,105.1,107.9,118.75,133.62,154.85,186.09,204.43,163.27,185.93,218.77,240.4,273.6,270.61,316.75,328.67,345.52,371.38,303.82
S1085,Northern,Хөвсгөл,MN67,Мөрөн,MN6712,Мөрөн,Sheep,3.83,4.59,2.61,5,5.07,3.7,4.14,5.65,4.23,3.27,3.81,4.08,4.76,4.99,5.3,7.11,7.82,7.54,8.22,9,19.47,23.69,36.4,38.55,35.75,32.1,35.47,40.8,44.55,46.36,41.34,29.97,33.02,32.98,36.17,38.06,47.92,59.42,70.71,80.73,55.37,66.2,79.2,76.08,92.17,94.54,103.59,114.9,136.72,119.98,116.85
