ID,ADM,REGION,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,ADM3,ADM4
120,"                            3-р баг, Дэлгэр",Western,Завхан,MN81,Цагаанчулуут,MN8115,"3-р баг, Дэлгэр","3-р баг, Дэлгэр"
121,"                            4-р баг, Баянхайрхан",Western,Завхан,MN81,Цагаанчулуут,MN8115,"4-р баг, Баянхайрхан","4-р баг, Баянхайрхан"
122,                    Цэцэн-Уул,Western,Завхан,MN81,Цэцэн-Уул,MN8122,Цэцэн-Уул,
123,"                            1-р баг, Оройн товгор",Western,Завхан,MN81,Цэцэн-Уул,MN8122,"1-р баг, Оройн товгор","1-р баг, Оройн товгор"
124,"                            2-р баг, Жаргалант",Western,Завхан,MN81,Цэцэн-Уул,MN8122,"2-р баг, Жаргалант","2-р баг, Жаргалант"
125,"                            3-р баг, Сангийн далай",Western,Завхан,MN81,Цэцэн-Уул,MN8122,"3-р баг, Сангийн далай","3-р баг, Сангийн далай"
126,"                            4-р баг, Шотой",Western,Завхан,MN81,Цэцэн-Уул,MN8122,"4-р баг, Шотой","4-р баг, Шотой"
127,"                            5-р баг, Батсуурь",Western,Завхан,MN81,Цэцэн-Уул,MN8122,"5-р баг, Батсуурь","5-р баг, Батсуурь"
128,                    Шилүүстэй,Western,Завхан,MN81,Шилүүстэй,MN8114,Шилүүстэй,
129,"                            1-р баг, Баян-Улаан",Western,Завхан,MN81,Шилүүстэй,MN8114,"1-р баг, Баян-Улаан","1-р баг, Баян-Улаан"
130,"                            2-р баг, Чандмань",Western,Завхан,MN81,Шилүүстэй,MN8114,"2-р баг, Чандмань","2-р баг, Чандмань"
131,"                            3-р баг, Хөгжил",Western,Завхан,MN81,Шилүүстэй,MN8114,"3-р баг, Хөгжил","3-р баг, Хөгжил"
132,"                            4-р баг, Сайхан",Western,Завхан,MN81,Шилүүстэй,MN8114,"4-р баг, Сайхан","4-р баг, Сайхан"
133,                    Эрдэнэхайрхан,Western,Завхан,MN81,Эрдэнэхайрхан,MN8124,Эрдэнэхайрхан,
134,"                            1-р баг, Багануур",Western,Завхан,MN81,Эрдэнэхайрхан,MN8124,"1-р баг, Багануур","1-р баг, Багануур"
135,"                            2-р баг, Мөсөн",Western,Завхан,MN81,Эрдэнэхайрхан,MN8124,"2-р баг, Мөсөн","2-р баг, Мөсөн"
136,"                            3-р баг, Алтан",Western,Завхан,MN81,Эрдэнэхайрхан,MN8124,"3-р баг, Алтан","3-р баг, Алтан"
137,"                            4-р баг, Баянзүрх",Western,Завхан,MN81,Эрдэнэхайрхан,MN8124,"4-р баг, Баянзүрх","4-р баг, Баянзүрх"
138,"                            5-р баг, Хайрхан",Western,Завхан,MN81,Эрдэнэхайрхан,MN8124,"5-р баг, Хайрхан","5-р баг, Хайрхан"
139,                Яруу,Western,Завхан,MN81,Яруу,MN8113,Яруу,
140,"                        1-р баг, Зүйл",Western,Завхан,MN81,Яруу,MN8113,"1-р баг, Зүйл","1-р баг, Зүйл"
141,"                        2-р баг, Жаргалант",Western,Завхан,MN81,Яруу,MN8113,"2-р баг, Жаргалант","2-р баг, Жаргалант"
142,"                        3-р баг, Өргөн",Western,Завхан,MN81,Яруу,MN8113,"3-р баг, Өргөн","3-р баг, Өргөн"
143,"                        4-р баг, Хэц-Улаан",Western,Завхан,MN81,Яруу,MN8113,"4-р баг, Хэц-Улаан","4-р баг, Хэц-Улаан"
144,"                        5-р баг, Чандмань",Western,Завхан,MN81,Яруу,MN8113,"5-р баг, Чандмань","5-р баг, Чандмань"
145,            Говь-Алтай,Western,Говь-Алтай,MN82,Говь-Алтай,,Говь-Алтай,
146,                Есөнбулаг,Western,Говь-Алтай,MN82,Есөнбулаг,MN8208,Есөнбулаг,
147,"                        1-р баг, Баянхайрхан",Western,Говь-Алтай,MN82,Есөнбулаг,MN8208,"1-р баг, Баянхайрхан","1-р баг, Баянхайрхан"
148,"                        2-р баг, Баяншанд",Western,Говь-Алтай,MN82,Есөнбулаг,MN8208,"2-р баг, Баяншанд","2-р баг, Баяншанд"
149,"                        3-р баг, Жаргалант",Western,Говь-Алтай,MN82,Есөнбулаг,MN8208,"3-р баг, Жаргалант","3-р баг, Жаргалант"
150,"                        4-р баг, Харзат",Western,Говь-Алтай,MN82,Есөнбулаг,MN8208,"4-р баг, Харзат","4-р баг, Харзат"
151,"                        5-р баг, Рашаант",Western,Говь-Алтай,MN82,Есөнбулаг,MN8208,"5-р баг, Рашаант","5-р баг, Рашаант"
152,"                        6-р баг, Наран",Western,Говь-Алтай,MN82,Есөнбулаг,MN8208,"6-р баг, Наран","6-р баг, Наран"
153,"                        7-р баг, Жинст",Western,Говь-Алтай,MN82,Есөнбулаг,MN8208,"7-р баг, Жинст","7-р баг, Жинст"
154,"                        8-р баг, Индэрт",Western,Говь-Алтай,MN82,Есөнбулаг,MN8208,"8-р баг, Индэрт","8-р баг, Индэрт"
155,"                        9-р баг, Түмэн",Western,Говь-Алтай,MN82,Есөнбулаг,MN8208,"9-р баг, Түмэн","9-р баг, Түмэн"
156,"                        10-р баг, Оргил",Western,Говь-Алтай,MN82,Есөнбулаг,MN8208,"10-р баг, Оргил","10-р баг, Оргил"
157,                Алтай,Western,Говь-Алтай,MN82,Алтай,MN8213,Алтай,
158,"                        1-р баг, Бадрал",Western,Говь-Алтай,MN82,Алтай,MN8213,"1-р баг, Бадрал","1-р баг, Бадрал"
159,"                        2-р баг, Баянцагаан",Western,Говь-Алтай,MN82,Алтай,MN8213,"2-р баг, Баянцагаан","2-р баг, Баянцагаан"
160,"                        3-р баг, Урт",Western,Говь-Алтай,MN82,Алтай,MN8213,"3-р баг, Урт","3-р баг, Урт"
161,"                        4-р баг, Баян-Овоо",Western,Говь-Алтай,MN82,Алтай,MN8213,"4-р баг, Баян-Овоо","4-р баг, Баян-Овоо"
162,                Баян-Уул,Western,Говь-Алтай,MN82,Баян-Уул,MN8215,Баян-Уул,
163,"                        1-р баг, Баян богд",Western,Говь-Алтай,MN82,Баян-Уул,MN8215,"1-р баг, Баян богд","1-р баг, Баян богд"
164,"                        2-р баг, Чандмань хайрхан",Western,Говь-Алтай,MN82,Баян-Уул,MN8215,"2-р баг, Чандмань хайрхан","2-р баг, Чандмань хайрхан"
165,"                        3-р баг, Баянхайрхан",Western,Говь-Алтай,MN82,Баян-Уул,MN8215,"3-р баг, Баянхайрхан","3-р баг, Баянхайрхан"
166,"                        4-р баг, Хүйсийн говь",Western,Говь-Алтай,MN82,Баян-Уул,MN8215,"4-р баг, Хүйсийн говь","4-р баг, Хүйсийн говь"
167,"                        5-р баг, Баянговь",Western,Говь-Алтай,MN82,Баян-Уул,MN8215,"5-р баг, Баянговь","5-р баг, Баянговь"
168,"                        6-р баг, Алтангадас",Western,Говь-Алтай,MN82,Баян-Уул,MN8204,"6-р баг, Алтангадас","6-р баг, Алтангадас"
169,                Бигэр,Western,Говь-Алтай,MN82,Бигэр,MN8204,Бигэр,
170,"                        1-р баг, Мянгай",Western,Говь-Алтай,MN82,Бигэр,MN8204,"1-р баг, Мянгай","1-р баг, Мянгай"
171,"                        2-р баг, Урт",Western,Говь-Алтай,MN82,Бигэр,MN8204,"2-р баг, Урт","2-р баг, Урт"
172,"                        3-р баг, Их булаг",Western,Говь-Алтай,MN82,Бигэр,MN8204,"3-р баг, Их булаг","3-р баг, Их булаг"
173,"                        4-р баг, Буудай",Western,Говь-Алтай,MN82,Бигэр,MN8204,"4-р баг, Буудай","4-р баг, Буудай"
174,"                        5-р баг, Хүрэмт",Western,Говь-Алтай,MN82,Бигэр,MN8204,"5-р баг, Хүрэмт","5-р баг, Хүрэмт"
175,                    Бугат,Western,Говь-Алтай,MN82,Бугат,MN8220,Бугат,
176,"                            1-р баг, Биж",Western,Говь-Алтай,MN82,Бугат,MN8220,"1-р баг, Биж","1-р баг, Биж"
177,"                            2-р баг, Ферм",Western,Говь-Алтай,MN82,Бугат,MN8220,"2-р баг, Ферм","2-р баг, Ферм"
178,"                            3-р баг, Гаханч",Western,Говь-Алтай,MN82,Бугат,MN8220,"3-р баг, Гаханч","3-р баг, Гаханч"
179,"                            4-р баг, Сүж",Western,Говь-Алтай,MN82,Бугат,MN8220,"4-р баг, Сүж","4-р баг, Сүж"
180,"                            5-р баг, Баянгол",Western,Говь-Алтай,MN82,Бугат,MN8220,"5-р баг, Баянгол","5-р баг, Баянгол"
181,                    Дарив,Western,Говь-Алтай,MN82,Дарив,MN8219,Дарив,
182,"                            1-р баг, Ихэс",Western,Говь-Алтай,MN82,Дарив,MN8219,"1-р баг, Ихэс","1-р баг, Ихэс"
183,"                            2-р баг, Хужирт",Western,Говь-Алтай,MN82,Дарив,MN8219,"2-р баг, Хужирт","2-р баг, Хужирт"
184,"                            3-р баг, Жавхлант",Western,Говь-Алтай,MN82,Дарив,MN8219,"3-р баг, Жавхлант","3-р баг, Жавхлант"
185,"                            4-р баг, Үйлдвэр",Western,Говь-Алтай,MN82,Дарив,MN8219,"4-р баг, Үйлдвэр","4-р баг, Үйлдвэр"
186,                    Дэлгэр,Western,Говь-Алтай,MN82,Дэлгэр,MN8201,Дэлгэр,
187,"                            1-р баг, Баян-Өндөр",Western,Говь-Алтай,MN82,Дэлгэр,MN8201,"1-р баг, Баян-Өндөр","1-р баг, Баян-Өндөр"
188,"                            2-р баг, Баянхонгор",Western,Говь-Алтай,MN82,Дэлгэр,MN8201,"2-р баг, Баянхонгор","2-р баг, Баянхонгор"
189,"                            3-р баг, Баянбуурал",Western,Говь-Алтай,MN82,Дэлгэр,MN8201,"3-р баг, Баянбуурал","3-р баг, Баянбуурал"
190,"                            4-р баг, Баянсан",Western,Говь-Алтай,MN82,Дэлгэр,MN8201,"4-р баг, Баянсан","4-р баг, Баянсан"
191,"                            5-р баг, Гуулин",Western,Говь-Алтай,MN82,Дэлгэр,MN8201,"5-р баг, Гуулин","5-р баг, Гуулин"
192,                    Жаргалан,Western,Говь-Алтай,MN82,Жаргалан,MN8211,Жаргалан,
193,"                            1-р баг, Бүрэн",Western,Говь-Алтай,MN82,Жаргалан,MN8211,"1-р баг, Бүрэн","1-р баг, Бүрэн"
194,"                            2-р баг, Тээл",Western,Говь-Алтай,MN82,Жаргалан,MN8211,"2-р баг, Тээл","2-р баг, Тээл"
195,"                            3-р баг, Завхан гол",Western,Говь-Алтай,MN82,Жаргалан,MN8211,"3-р баг, Завхан гол","3-р баг, Завхан гол"
196,                    Тайшир,Western,Говь-Алтай,MN82,Тайшир,MN8207,Тайшир,
197,"                            1-р баг, Хуримт",Western,Говь-Алтай,MN82,Тайшир,MN8207,"1-р баг, Хуримт","1-р баг, Хуримт"
198,"                            2-р баг, Галуут",Western,Говь-Алтай,MN82,Тайшир,MN8207,"2-р баг, Галуут","2-р баг, Галуут"
199,"                            3-р баг, Далан",Western,Говь-Алтай,MN82,Тайшир,MN8207,"3-р баг, Далан","3-р баг, Далан"
200,                    Тонхил,Western,Говь-Алтай,MN82,Тонхил,MN8221,Тонхил,
201,"                            1-р баг, Бүс-Уул",Western,Говь-Алтай,MN82,Тонхил,MN8221,"1-р баг, Бүс-Уул","1-р баг, Бүс-Уул"
202,"                            2-р баг, Тамч",Western,Говь-Алтай,MN82,Тонхил,MN8221,"2-р баг, Тамч","2-р баг, Тамч"
203,"                            3-р баг, Зүйл",Western,Говь-Алтай,MN82,Тонхил,MN8221,"3-р баг, Зүйл","3-р баг, Зүйл"
204,"                            4-р баг, Алтансоёмбо",Western,Говь-Алтай,MN82,Тонхил,MN8221,"4-р баг, Алтансоёмбо","4-р баг, Алтансоёмбо"
205,"                            5-р баг, Алтайн-Оргил",Western,Говь-Алтай,MN82,Тонхил,MN8221,"5-р баг, Алтайн-Оргил","5-р баг, Алтайн-Оргил"
206,                    Төгрөг,Western,Говь-Алтай,MN82,Төгрөг,MN8217,Төгрөг,
207,"                            1-р баг, Хүрэн гол",Western,Говь-Алтай,MN82,Төгрөг,MN8217,"1-р баг, Хүрэн гол","1-р баг, Хүрэн гол"
208,"                            2-р баг, Төгрөгийн эх",Western,Говь-Алтай,MN82,Төгрөг,MN8217,"2-р баг, Төгрөгийн эх","2-р баг, Төгрөгийн эх"
209,"                            3-р баг, Мааньт",Western,Говь-Алтай,MN82,Төгрөг,MN8217,"3-р баг, Мааньт","3-р баг, Мааньт"
210,"                            4-р баг, Цагаан хайрхан",Western,Говь-Алтай,MN82,Төгрөг,MN8217,"4-р баг, Цагаан хайрхан","4-р баг, Цагаан хайрхан"
