CID,NATIONAL,REGION,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,ADM3,ADM4,,TYPE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
C38,National,Western,Завхан,MN81,Завханмандал,MN8127,Завханмандал,,,Үхэр,3.05,3.33,3.13,3.09,3.26,3.02,2.88,2.65,2.52,2.33,2.44,2.32,2.41,2.38,2.31,2.62,2.74,2.91,3.2,3.39,3.64,3.75,3.87,4.04,4.99,5.69,5.38,5.26,5.09,4.98,1.42,1.37,1.6,2.06,2.31,2.62,2.94,3.34,1.84,1.01,0.63,0.68,0.98,1.26,1.57,1.97,2.29,2.41,1.89,2.11,2.29
C39,National,Western,Завхан,MN81,Завханмандал,MN8127,"1-р баг, Мандал","1-р баг, Мандал",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.26,0.35,0.46,0.6,0.63,0.43,0.51,0.58
C40,National,Western,Завхан,MN81,Завханмандал,MN8127,"2-р баг, Олонбулаг","2-р баг, Олонбулаг",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.31,0.39,0.5,0.55,0.57,0.46,0.53,0.52
C41,National,Western,Завхан,MN81,Завханмандал,MN8127,"3-р баг, Олонтүрүү","3-р баг, Олонтүрүү",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.5,0.61,0.72,0.81,0.82,0.73,0.77,0.83
C42,National,Western,Завхан,MN81,Завханмандал,MN8127,"4-р баг, Нуга","4-р баг, Нуга",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.18,0.22,0.28,0.33,0.39,0.27,0.29,0.36
C43,National,Western,Завхан,MN81,Идэр,MN8106,Идэр,,,Үхэр,6.63,7.08,6.88,6.96,7.16,7.32,7.54,7.73,8.2,8.45,8.46,8.2,7.21,7.19,7.81,8.44,8.57,8.88,9.08,9.57,10.28,11.53,11.64,10.34,12,12.57,14.23,16.42,17.52,18.78,15.33,4.53,3.85,4.14,5,5.92,6.9,8.49,9.79,7.76,3.74,4.32,5.07,5.71,6.88,7.87,8.5,9.56,9.95,9.95,10.89
C44,National,Western,Завхан,MN81,Идэр,MN8106,"1-р баг, Мануустай","1-р баг, Мануустай",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,1.51,1.76,2.08,2.33,2.67,2.7,2.57,2.81
C45,National,Western,Завхан,MN81,Идэр,MN8106,"2-р баг, Цэцэрлэг","2-р баг, Цэцэрлэг",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,0.63,0.76,0.88,0.87,0.87,0.84,0.77,1
C46,National,Western,Завхан,MN81,Идэр,MN8106,"3-р баг, Загастай","3-р баг, Загастай",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,1.31,1.61,1.83,1.99,2.21,2.28,2.21,2.34
C47,National,Western,Завхан,MN81,Идэр,MN8106,"4-р баг, Дархан-Уул","4-р баг, Дархан-Уул",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94,2.26,2.75,3.09,3.31,3.8,4.13,4.4,4.73
C48,National,Western,Завхан,MN81,Их-Уул,MN8101,Их-Уул,,,Үхэр,14.85,16.26,16.81,17.63,19.03,19.62,18.77,16.69,16.8,17.45,17.27,17.77,17.78,18.12,19.64,20.02,20.9,22.27,21.95,23.29,24.88,21.57,22.38,23.02,27.33,29.09,32.81,33.51,32.92,33.4,27.17,16.06,14.87,12.33,13.01,13.96,15.91,17.7,19.4,19.18,14.88,15.08,17.4,19.89,23.01,25.13,25.24,26.86,29.2,32.6,31.93
C49,National,Western,Завхан,MN81,Их-Уул,MN8101,"1-р баг, Баян-Ухаа","1-р баг, Баян-Ухаа",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,1.3,1.34,1.54,1.56,1.53,1.53,1.85,1.72
