GID,ADM,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,TYPE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
G199,Western,Говь-Алтай,MN82,Тонхил,MN8221,Goat,27.33,28.57,26.84,26.83,27.91,28.46,29.6,31.38,31.2,30.8,26.89,26.19,21.93,21.39,18.62,21.47,21.78,23.5,25.05,24.17,23,25.34,28.91,33.18,40.19,48.79,52.71,52.47,56.02,48.85,51.82,45.16,46.36,53.83,65.93,78.44,91.01,100.13,92.4,91.48,51.44,58.19,64.17,68.5,80.8,95.43,112.67,126.87,106.4,93.28,94.92
G205,Western,Говь-Алтай,MN82,Төгрөг,MN8217,Goat,20.05,20.94,18.85,19.34,20.65,20.79,21.66,22.65,22.77,22.14,20.54,19.54,21.48,21.23,13.89,19.73,21.85,24.1,25.36,26.2,27.65,30.11,33.52,36.44,43.93,49.39,51.54,55.62,50.16,45.38,44.77,41.23,25.53,32.95,41.35,51.41,62.29,75.38,73.94,72.08,43.83,52.48,56.91,59.86,66.08,75.27,87.38,96.44,73.89,73.66,68.19
G211,Western,Говь-Алтай,MN82,Халиун,MN8210,Goat,23.12,24.77,22.94,24.8,25.03,24.9,25.35,26.43,26.76,25.15,22.87,22.32,20.76,22.23,18.2,20.91,21.56,22.37,23.22,26.64,26.11,28.56,32.56,37.55,47.81,53.27,53.38,54.17,59.4,62.58,62.15,59.24,34.16,49.59,60.68,74.88,88.77,105.19,111.91,96.81,68.78,86.06,90.33,99.9,115.72,128.78,149.42,154.3,144.98,154.92,124.9
G216,Western,Говь-Алтай,MN82,Хөхморьт,MN8218,Goat,17.46,18.41,16.65,16.53,17.86,19.81,19.26,16.92,17.77,16.38,16.64,13.41,14.99,11.94,12.37,14.3,14.47,15.5,17.52,18.3,17.01,18.64,18.18,22.53,26.66,31.66,34.12,33.9,42.45,32.37,31.72,24.65,10.56,19.06,28.43,33.07,43.97,58.21,61.46,51.25,24.06,31.55,40.22,48.72,58.8,67.5,84.84,86.93,83.78,89.73,97.65
G222,Western,Говь-Алтай,MN82,Цогт,MN8205,Goat,46.14,48.03,47.23,46.87,46.38,46.44,47.28,49.75,50.78,49.56,52.06,49.3,50.58,52.18,45.3,48.91,47,50,47.5,51.45,52.67,57.72,62.56,63.3,79.11,89.37,91.06,100.26,99.95,101.08,95.11,86.27,43.11,60.09,73.27,88.64,106,123.18,120.05,108.65,84.89,101.83,121.66,133.16,143.14,155.95,193.24,213.47,200.36,213.82,210.47
G230,Western,Говь-Алтай,MN82,Цээл,MN8212,Goat,32.42,33.77,30.57,31.31,30.59,33.82,36.54,37.84,38.05,36.2,36.33,36.55,36.6,35.18,30.39,35.52,36.45,34.96,36.53,36.9,37.72,38.99,43.84,49.1,60.71,66.62,67.67,71.55,69.82,73.86,79.06,61.55,43.96,58.36,74.68,92.1,107.78,120.14,97.86,76.5,52.8,67.89,79.59,92.22,103.21,117.93,134.88,150.11,152.48,156.13,114.76
G235,Western,Говь-Алтай,MN82,Чандмань,MN8202,Goat,16.48,16.75,17.67,18.8,17.05,17.24,18.41,18.74,17.48,17.71,18.15,17.68,17.77,18.45,16.19,16.71,18.48,19.26,17.84,19.83,18.29,21,21.5,20.09,31.86,36.86,39.06,44.16,44.27,40.04,43.51,35.98,15.9,23.58,32.24,40.11,51.2,65.25,71.13,57.69,40.23,54.7,64.52,76.05,85.77,101.33,121.73,137.91,134.83,140.19,123.25
G241,Western,Говь-Алтай,MN82,Шарга,MN8214,Goat,21.05,21.79,21.11,23.59,23.17,23.34,23.42,23.06,24.66,25.02,24.16,24.48,24.97,21.08,20.22,23.69,24.95,26.51,29.38,31.86,30.41,30.11,32.47,36.28,43.19,48.47,51.17,54.69,53.37,60.75,64.74,60.17,33.52,46.61,56.59,65.67,80.03,91.67,95.17,70.63,43.47,59.49,66.37,75.52,87.07,96.15,112.07,119.37,106.74,117.98,122.64
G246,Western,Говь-Алтай,MN82,Эрдэнэ,MN8203,Goat,27.76,27.85,27.19,27.98,23.2,23.27,24.11,26.1,26.78,27.41,29.39,29.42,28.31,30.08,30.02,30.6,30.69,29.54,26.98,29.89,31.68,31.44,32.63,32.76,43.66,53.71,56.18,64.03,67.4,62.02,60.62,50.43,31.41,44.76,58.41,70.8,86.2,105.96,117.12,108.61,75.9,85.7,99.8,121.9,137.39,161.26,194.71,217.01,191.1,186.82,172.37
G252,Western,Баян-Өлгий,MN83,Өлгий,MN8312,Goat,3.08,4.51,2.67,3.14,3.35,3.53,4.2,4.3,2.13,2.58,2.59,2.38,2.68,2.96,3.52,3.33,3.48,4.77,4.86,9.1,11.32,7.44,5.51,1.64,4.74,5.6,4.99,5.3,5.25,4.94,4.61,5.85,5.91,6.74,7.46,7.32,7.21,9.8,11.81,9.56,9.18,9.44,10.49,12.15,13.21,12.23,13.44,13.14,11.96,12.61,17.66
