Статистик үзүүлэлт,Засаг захиргааны нэгж,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Хураамжийн орлого,            Шинэжинст,"12,512.3","7,872.3","9,026.9","7,282.3","9,620.7","9,567.","10,662.9","15,906.8","34,588.9","28,843.1"
Хураамжийн орлого,            Эрдэнэцогт,"7,773.9","8,793.2","12,958.9","12,385.6","11,903.8","14,955.","17,913.9","15,571.5","17,607.","27,468.8"
Хураамжийн орлого,    Архангай,,,"151,554.","151,374.3","118,737.7","38,193.","99,314.9","147,635.4","196,784.2","226,179.4"
Хураамжийн орлого,        Эрдэнэбулган,,,"15,378.4","10,042.4","9,748.8",900.,"3,480.","4,690.","9,070.","6,340."
Хураамжийн орлого,        Батцэнгэл,,,"14,499.","12,082.1","10,207.4","1,265.","11,901.5","11,480.","8,570.","16,700."
Хураамжийн орлого,        Булган,,,"2,219.","6,127.5","3,440.2","1,407.","6,021.9","5,535.","10,532.7","13,579.6"
Хураамжийн орлого,        Жаргалант,,,"1,696.5","8,410.9",951.9,,"1,375.",410.,"3,172.9","4,480."
Хураамжийн орлого,            Ихтамир,,,"17,084.2","11,476.7","9,117.","1,002.","3,230.","5,520.","11,800.","9,470."
Хураамжийн орлого,            Өгийнуур,,,"4,975.7","6,509.5","9,515.6","1,220.","5,952.","5,759.9","8,320.","7,400."
Хураамжийн орлого,            Өлзийт,,,"5,426.7","5,233.7","3,737.","2,460.","3,685.","15,405.3","21,510.","20,650."
Хураамжийн орлого,            Өндөр-Улаан,,,"10,646.8","8,027.7","9,595.8","4,970.","6,395.","6,290.","6,680.","11,550."
Хураамжийн орлого,            Тариат,,,"5,247.8","8,493.2","9,568.7","2,703.","6,987.1","5,883.7","6,967.7","9,389.3"
Хураамжийн орлого,            Төвшрүүлэх,,,"4,386.7","3,994.6","2,195.","3,670.","2,290.","3,375.","7,900.","13,580."
Хураамжийн орлого,            Хайрхан,,,"13,124.8","10,618.5","13,048.","8,935.","11,830.","13,680.","15,240.","22,655."
Хураамжийн орлого,            Хангайн бүс,,,"5,039.8","4,666.9","1,506.2",,"2,934.6","3,946.3","4,060.","5,770."
Хураамжийн орлого,            Хашаат,,,"14,636.9","12,969.8","8,042.4","1,045.","4,403.8","10,856.7","13,705.9","7,733.1"
Хураамжийн орлого,        Хотонт,,,"13,638.8","17,290.","5,520.5","2,250.","12,260.","18,990.","22,005.","28,248.4"
Хураамжийн орлого,            Цахир,,,"2,076.9","1,765.","1,170.",254.,590.,"3,235.","4,730.","5,864."
Хураамжийн орлого,            Цэнхэр,,,"8,119.8","10,100.9","4,905.5","1,032.","3,382.8","9,610.","13,380.","14,670."
Хураамжийн орлого,            Цэцэрлэг,,,"1,621.7","3,880.","3,735.6","2,130.","3,275.","6,274.5","7,990.","8,170."
Хураамжийн орлого,            Чулуут,,,"8,391.9","8,633.1","9,153.2","2,280.","1,026.3","5,573.9","9,430.","7,510."
Хураамжийн орлого,            Эрдэнэмандал,,,"3,342.6","1,051.9","3,578.9",670.,"8,295.","11,120.","11,720.","12,420."
Хураамжийн орлого,    Хөвсгөл,0.,"24,090.4","22,687.7","19,539.7","8,934.3","28,687.","21,059.7","124,504.3","181,469.9","212,303.2"
Хураамжийн орлого,        Мөрөн,0.,"1,260.3",219.3,221.,100.,876.,640.5,"5,699.5","7,166.1","8,774.7"
Хураамжийн орлого,        Алаг-Эрдэнэ,0.,982.6,"1,741.1",647.1,942.4,360.,124.7,"8,652.8","10,310.2","15,735.2"
Хураамжийн орлого,        Арбулаг,0.,"2,169.3","1,913.8","1,506.5",0.,"2,141.",0.,"3,490.","8,386.1","9,268."
Хураамжийн орлого,        Баянзүрх,0.,298.5,0.,0.,267.5,585.,"1,824.8","3,964.5","6,718.6","7,582."
Хураамжийн орлого,            Бүрэнтогтох,0.,917.,423.6,199.8,174.2,"2,429.",770.1,"4,807.6","14,518.2","20,540."
Хураамжийн орлого,            Галт,0.,333.6,679.7,381.,202.2,"5,130.",0.,"11,917.4","11,221.","10,327.7"
Хураамжийн орлого,            Жаргалант,0.,"3,963.6","5,109.1","1,767.7",152.4,"1,620.",0.,"5,044.","4,600.4","7,448."
Хураамжийн орлого,            Их-Уул,0.,267.9,361.7,283.5,410.,135.,11.6,"2,838.7","6,572.5","10,022.5"
Хураамжийн орлого,            Рашаант,0.,201.5,222.3,76.5,148.3,"2,598.",963.5,"7,240.","5,625.3","5,263.5"
Хураамжийн орлого,            Ренчинлхүмбэ,0.,392.1,157.3,233.6,0.,,0.,"3,302.1","6,780.","7,146.6"
Хураамжийн орлого,            Тариалан,0.,"1,009.",69.,0.,605.5,"5,778.","4,763.6","4,877.6","9,849.3","15,319.6"
Хураамжийн орлого,            Тосонцэнгэл,0.,628.7,268.3,839.,"1,010.9","1,221.",0.,"10,363.9","10,314.3","11,972."
Хураамжийн орлого,            Төмөрбулаг,0.,"1,628.",163.2,"1,671.5","2,900.7","1,849.","1,405.1","14,866.8","15,627.7","15,961.8"
Хураамжийн орлого,        Түнэл,0.,277.7,0.,0.,0.,"1,638.","3,520.","6,411.8","11,754.6","14,337.3"
Хураамжийн орлого,            Улаан-Уул,0.,943.1,"5,324.2","6,915.4","1,084.6","1,232.","2,500.","4,901.5","7,557.6","9,275.6"
Хураамжийн орлого,            Ханх,0.,597.6,200.4,"1,470.6",0.,,0.,"1,785.7","1,850.","3,326."
Хураамжийн орлого,            Цагааннуур,0.,80.1,0.,282.,0.,,0.,"1,922.","2,837.6","1,921."
Хураамжийн орлого,            Цагаан-Уул,0.,"5,935.3","5,359.3",192.8,0.,45.,784.1,"10,870.","10,098.2","12,032."
Хураамжийн орлого,            Цагаан-Үүр,0.,777.8,88.5,0.,80.,90.,0.,454.1,"2,674.5","1,518.2"
Хураамжийн орлого,            Цэцэрлэг,0.,414.6,87.9,"2,114.1",623.9,840.,112.,"4,873.","13,372.","9,807.6"
Хураамжийн орлого,            Чандмань-Өндөр,0.,227.7,0.,210.,206.5,,92.,"1,255.2","2,792.3","5,174.7"
Хураамжийн орлого,            Шинэ-Идэр,0.,563.3,111.,0.,0.,121.,"3,547.7","3,317.3","7,177.4","4,745.2"
Хураамжийн орлого,            Эрдэнэбулган,0.,220.9,188.3,527.5,25.,,0.,"1,648.7","3,666.","4,804."
Хураамжийн орлого,Төвийн бүс,"23,830.9","86,610.3","227,036.8","329,635.","250,206.2","209,721.","316,460.5","410,463.9","684,385.8","867,814.6"
Хураамжийн орлого,    Төв,,,"27,944.8","60,637.6","47,686.3","49,192.","81,538.5","57,096.7","123,686.3","178,883.7"
Хураамжийн орлого,        Зуунмод,,,713.5,426.5,910.2,,"2,948.6",750.,"2,755.9","1,750."
Хураамжийн орлого,        Алтанбулаг,,,651.,"3,864.4","1,006.2","2,863.","1,080.",670.,"5,619.5","9,083.3"
Хураамжийн орлого,        Аргалант,,,205.4,"4,592.9","2,600.",,"1,530.","1,800.","2,200.","3,980.5"
Хураамжийн орлого,        Архуст,,,845.8,"2,457.3",0.,370.,"4,472.8","1,280.","3,960.","6,550."
Хураамжийн орлого,            Батсүмбэр,,,0.,"1,674.2",195.2,"1,447.","1,020.","1,164.6","1,130.","1,280."
Хураамжийн орлого,            Баян,,,57.5,586.5,"2,082.4","1,937.","5,033.2","3,320.8","3,489.4","6,150."
Хураамжийн орлого,            Баяндэлгэр,,,"1,681.5","4,559.2","5,312.5","3,326.","1,116.","2,178.7","7,990.","9,450."
Хураамжийн орлого,            Баянжаргалан,,,548.1,"5,404.3","2,082.8","1,798.","2,883.5","3,256.6","8,650.9","10,339.5"
Хураамжийн орлого,            Баян-Өнжүүл,,,907.5,"2,889.","1,125.9","2,672.","3,180.","2,390.","7,540.","11,790."
Хураамжийн орлого,            Баянхангай,,,0.,35.4,0.,,"1,790.",950.,"2,050.","3,760."
Хураамжийн орлого,            Баянцагаан,,,"2,616.2","2,126.7","1,551.4","1,579.","2,033.2","3,012.3","5,306.6","15,704.3"
Хураамжийн орлого,            Баянцогт,,,260.6,0.,"1,298.5",858.,"2,505.","2,135.","2,971.2","5,513.5"
Хураамжийн орлого,            Баянчандмань,,,937.2,"1,776.9","4,704.9","5,948.","1,721.8","2,797.5","3,128.8","4,004.7"
Хураамжийн орлого,        Борнуур,,,287.5,315.,200.3,924.,"1,260.",220.,"1,530.","3,280."
Хураамжийн орлого,            Бүрэн,,,0.,"3,737.3","4,131.2","4,423.","6,526.2","7,320.","7,193.8","7,299.6"
Хураамжийн орлого,            Дэлгэрхаан,,,0.,182.4,161.,570.,"1,230.","1,550.","6,730.1","4,900."
Хураамжийн орлого,            Жаргалант,,,0.,"6,950.5","12,107.","8,190.","3,480.","3,090.","4,480.","9,220."
Хураамжийн орлого,            Заамар,,,"1,762.2",0.,0.,,600.,500.,"2,330.","7,220."
Хураамжийн орлого,            Лүн,,,0.,"1,116.9",756.1,"1,375.","3,117.8",950.,"3,300.","7,460."
Хураамжийн орлого,            Мөнгөнморьт,,,"2,540.7",670.4,"1,840.8","1,100.","2,930.","2,130.","4,398.6","9,578.2"
Хураамжийн орлого,            Өндөрширээт,,,"1,852.7","1,316.7",162.3,"1,810.","3,010.",770.,"5,250.","4,300."
Хураамжийн орлого,            Сүмбэр,,,663.4,"1,383.6",0.,,"1,530.",850.,"1,150.","1,520."
Хураамжийн орлого,            Сэргэлэн,,,"6,047.5","3,193.1","1,172.2",150.,"1,080.","1,640.","2,233.8","4,150."
Хураамжийн орлого,        Угтаал,,,"1,396.3","3,882.2",0.,,"2,580.",200.,750.,"3,440."
Хураамжийн орлого,            Цээл,,,"1,237.4","5,950.7","2,992.5","7,233.","13,150.4","7,337.3","7,058.7","4,600."
Хураамжийн орлого,            Эрдэнэ,,,"2,659.8",576.8,0.,,"3,320.","1,658.1","13,076.8","14,220."
Хураамжийн орлого,            Эрдэнэсант,,,72.9,968.9,"1,292.9",620.,"6,410.","3,175.8","7,412.4","8,340."
Хураамжийн орлого,    Говьсүмбэр,0.,0.,"29,824.7","15,209.7","5,860.1","4,822.","8,083.","15,121.","25,984.1","53,252.2"
Хураамжийн орлого,        Сүмбэр,0.,0.,"22,484.2","7,790.3","3,144.4","2,341.","4,287.1","10,820.9","23,350.2","40,721.8"
Хураамжийн орлого,        Баянтал,0.,0.,"6,053.7","4,719.7","1,372.6","1,194.","1,490.5","1,328.5",934.4,"8,170.7"
Хураамжийн орлого,        Шивээговь,0.,0.,"1,286.9","2,699.7","1,343.1","1,287.","2,305.5","2,971.7","1,699.5","4,359.6"
Хураамжийн орлого,    Сэлэнгэ,"9,084.7","15,713.","19,177.3","18,492.5","22,868.8","21,676.","28,872.5","47,019.3","95,965.9","68,910.3"
Хураамжийн орлого,        Сүхбаатар,951.2,22.5,58.7,288.,333.4,,464.5,230.,"1,110.","1,120."
Хураамжийн орлого,        Алтанбулаг,640.5,272.1,981.6,"1,405.",276.3,883.,"1,503.2",380.,"2,561.7","2,376.6"
Хураамжийн орлого,        Баруунбүрэн,0.,52.5,596.9,0.,38.3,,240.,500.,"3,480.","2,230."
Хураамжийн орлого,        Баянгол,204.9,0.,"1,890.4","4,147.1","4,238.","4,094.","6,354.1","6,905.8","11,449.9","7,591."
Хураамжийн орлого,            Ерөө,34.9,117.8,59.4,292.8,135.9,,30.,280.,"2,260.","2,340."
Хураамжийн орлого,            Жавхлант,"1,622.4",855.5,"1,659.4",859.2,"2,297.1",864.,"2,295.2",150.6,"3,330.1","2,080."
Хураамжийн орлого,            Зүүнбүрэн,373.9,"1,980.","2,728.6",832.3,581.7,941.,"2,543.4","3,408.3","6,844.5","5,351.1"
Хураамжийн орлого,            Мандал,9.,905.9,447.1,224.4,301.5,,"1,959.5","15,577.7","14,965.4","13,650."
Хураамжийн орлого,            Орхон,282.5,470.7,"1,501.3","2,153.","2,241.8","3,314.",493.9,"2,443.8","2,552.","4,068.6"
Хураамжийн орлого,            Орхонтуул,"1,008.","3,570.9","2,473.7","3,326.7","5,331.6","8,741.","9,109.2","7,726.3","7,298.9","6,870.7"
Хураамжийн орлого,            Сайхан,0.,"1,185.",270.1,458.1,671.,,427.3,"1,540.","5,726.","2,750."
Хураамжийн орлого,            Сант,113.7,310.2,434.3,0.,501.3,,0.,"2,470.","4,028.5","3,620."
Хураамжийн орлого,            Түшиг,0.,221.3,240.,291.5,628.,,134.,700.,"1,800.","1,460.6"
Хураамжийн орлого,        Хүдэр,405.2,25.2,443.,487.6,0.,,338.5,350.,500.,480.
Хураамжийн орлого,            Хушаат,"2,341.3","1,545.6",450.3,523.2,983.3,,973.1,"2,561.","20,871.3","3,422.6"
Хураамжийн орлого,            Цагааннуур,926.8,"2,455.8","3,413.1","2,546.4","3,421.1","2,838.","1,976.6","1,795.9","6,587.6","8,709.3"
Хураамжийн орлого,            Шаамар,170.6,"1,722.","1,529.7",657.,888.5,,30.,0.,600.,790.
Хураамжийн орлого,    Дорноговь,0.,"40,866.6","61,375.3","86,100.6","90,600.4","48,901.","129,512.","96,318.5","116,435.4","151,428.2"
Хураамжийн орлого,        Сайншанд,0.,702.9,247.5,748.8,640.3,480.,"4,462.9","3,871.8","6,582.2","6,595.5"
Хураамжийн орлого,        Айраг,0.,"6,821.1","12,319.7","13,142.6","17,054.4","13,926.","21,096.6","15,658.7","14,253.7","16,737.9"
Хураамжийн орлого,        Алтанширээ,0.,"1,172.1","3,987.1","7,451.1","6,103.3","3,669.","9,080.1","4,094.8","7,202.7","10,554.4"
Хураамжийн орлого,        Даланжаргалан,0.,742.3,"1,359.6","4,441.","4,923.2","1,788.","8,426.3","7,961.5","9,330.2","15,404.7"
Хураамжийн орлого,            Дэлгэрэх,0.,"10,392.4","14,674.7","18,359.5","24,008.7","6,534.","15,622.1","14,801.6","20,564.1","24,263.6"
Хураамжийн орлого,            Замын-Үүд,0.,369.8,0.,"2,593.5",769.8,"1,045.",433.6,595.2,700.,"1,069."
Хураамжийн орлого,            Иххэт,0.,"6,539.4","7,082.2","8,525.6","12,671.3","5,299.","8,785.9","3,891.7","7,352.5","13,358.2"
Хураамжийн орлого,            Мандах,0.,"4,433.7","4,421.1","6,063.7","4,883.9","1,262.","12,218.4","7,054.6","7,731.5","10,910.7"
Хураамжийн орлого,            Өргөн,0.,"1,225.5","4,647.1","3,722.1","2,831.7","1,906.","5,740.8","5,713.3","6,112.1","11,233.6"
Хураамжийн орлого,            Сайхандулаан,0.,"2,303.","3,639.4","4,973.8","5,460.1","4,724.","10,573.3","8,019.7","12,036.5","12,059.7"
Хураамжийн орлого,            Улаанбадрах,0.,425.7,259.4,"1,761.8","1,705.","1,078.","3,675.8","4,097.2","5,633.","6,134.9"
Хураамжийн орлого,            Хатанбулаг,0.,688.7,819.1,"2,949.2","2,291.2",823.,"7,676.3","8,168.5","5,932.3","10,222.6"
Хураамжийн орлого,            Хөвсгөл,0.,281.6,662.8,"4,476.9","1,956.7",815.,"10,059.4","3,635.","6,191.9","5,166.7"
Хураамжийн орлого,        Эрдэнэ,0.,"4,768.3","7,255.8","6,890.9","5,300.6","5,551.","11,660.7","8,754.8","6,812.9","7,716.5"
Хураамжийн орлого,    Дархан-Уул,"14,746.2","9,945.6","18,666.4","9,658.5","2,992.7","6,908.","5,761.","5,160.3","6,166.6","11,156.2"
Хураамжийн орлого,        Дархан,"14,746.2","1,061.7","3,380.6",739.5,209.1,"1,080.","2,232.3","1,440.","1,780.8","4,175.7"
Хураамжийн орлого,        Орхон,0.,"5,459.9","7,376.9",814.7,340.2,,512.1,50.,150.,"1,670."
Хураамжийн орлого,        Хонгор,0.,"1,016.6","2,933.8","2,397.8",575.2,"4,723.",959.4,"2,697.9",426.6,"1,580."
Хураамжийн орлого,        Шарын гол,0.,"2,407.3","4,975.2","5,706.6","1,868.2","1,105.","2,057.3",972.5,"3,809.3","3,730.6"
Хураамжийн орлого,    Өмнөговь,0.,0.,"13,112.8","72,742.6","16,996.6","5,854.","10,121.6","45,909.4","70,401.8","75,502.5"
Хураамжийн орлого,        Даланзадгад,,,721.9,"1,271.1",923.6,139.,"1,155.8","4,150.","6,412.4","2,340."
Хураамжийн орлого,        Баяндалай,,,143.9,606.7,450.5,,0.,"3,200.","3,650.","5,860."
Хураамжийн орлого,        Баян-Овоо,,,540.1,318.7,381.5,132.,171.9,"1,150.","2,050.","4,560."
Хураамжийн орлого,        Булган,,,"4,464.6","4,083.2","1,805.2",333.,"1,190.","5,175.1","5,250.","3,280."
Хураамжийн орлого,            Гурвантэс,,,189.4,"1,023.9",482.1,100.,0.,"2,600.","2,860.","3,440."
Хураамжийн орлого,            Мандал-Овоо,,,941.7,768.7,161.5,,0.,"3,550.","3,900.","9,370."
Хураамжийн орлого,            Манлай,,,436.8,"2,287.5",707.6,820.,"2,193.4","4,717.1","7,825.1","9,153.2"
Хураамжийн орлого,            Ноён,,,32.,"49,270.",0.,,302.1,"1,825.6","1,250.","2,320."
Хураамжийн орлого,            Номгон,,,66.2,"2,158.7",937.3,199.,177.,"5,900.","6,150.","7,440."
Хураамжийн орлого,            Сэврэй,,,"1,125.5","2,154.3","2,950.9","1,658.","2,310.6","2,776.9","4,500.","6,788.3"
Хураамжийн орлого,            Ханбогд,,,314.3,943.4,541.,,0.,"2,976.2","3,815.","3,276.9"
Хураамжийн орлого,            Ханхонгор,,,471.4,611.7,191.,134.,486.4,"1,350.","1,650.","6,233.4"
Хураамжийн орлого,            Хүрмэн,,,"1,495.6","1,906.3","1,761.9",790.,455.1,"2,740.2","3,736.1","1,850."
Хураамжийн орлого,        Цогт-Овоо,,,"2,169.5",711.9,776.7,219.,886.9,862.4,"3,483.3","5,511."
Хураамжийн орлого,            Цогтцэций,,,0.,"4,626.6","4,925.8","1,330.",792.4,"2,935.9","13,869.9","4,079.8"
Хураамжийн орлого,    Дундговь,,"20,085.2","56,935.5","66,793.5","63,201.3","72,369.","52,572.","143,838.6","245,745.8","328,681.4"
Хураамжийн орлого,        Сайнцагаан,,993.1,"2,961.8","2,088.4","2,626.4","10,968.","2,455.8","11,070.5","32,467.6","19,619.5"
Хураамжийн орлого,        Адаацаг,,0.,"5,099.","3,625.1","5,955.8","6,313.","4,019.","16,490.4","25,192.6","32,725."
Хураамжийн орлого,        Баянжаргалан,,"5,426.4","4,351.3","3,805.7","3,963.7","4,806.","1,707.8","7,049.1","12,603.","19,268.2"
Хураамжийн орлого,        Говь-Угтаал,,"1,155.","5,388.6","7,295.3","4,029.8","2,441.","1,512.","5,210.","5,995.4","11,193.6"
Хураамжийн орлого,            Гурвансайхан,,142.8,"4,140.8","9,492.","4,110.3","5,544.","6,885.3","9,068.","8,806.","25,196.6"
Хураамжийн орлого,            Дэлгэрхангай,,474.4,961.,"1,031.9","1,146.4",560.,685.6,"3,190.","9,966.4","18,840."
Хураамжийн орлого,            Дэлгэрцогт,,148.4,"3,351.1","3,887.4","2,170.","1,416.","3,170.5","4,983.3","7,178.8","11,679.4"
Хураамжийн орлого,            Дэрэн,,504.2,"1,222.1","4,639.7","2,224.2","2,763.","2,113.","22,480.9","9,106.6","13,207.7"
Хураамжийн орлого,            Луус,,"2,627.2","13,055.6","11,678.7","5,862.6","3,919.","2,847.4","9,012.6","26,716.3","25,657.2"
Хураамжийн орлого,            Өлзийт,,"5,917.3","9,295.3","5,347.9","13,489.7","9,701.","9,266.4","10,128.6","28,678.9","45,514.1"
Хураамжийн орлого,            Өндөршил,,797.,318.9,"1,214.2","1,532.4","1,374.","2,101.6","2,641.6","6,622.7","13,670."
Хураамжийн орлого,            Сайхан-Овоо,,449.5,"2,146.5","2,713.2","1,487.4","1,678.","1,804.6","5,560.","16,130.9","15,360."
Хураамжийн орлого,            Хулд,,172.7,"1,105.1","3,501.8","3,642.1","4,239.","3,825.","8,639.8","24,096.3","24,224.8"
Хураамжийн орлого,        Цагаандэлгэр,,406.8,"2,047.1","1,304.2","1,928.",546.,"2,335.4","5,443.8","7,271.9","9,056.7"
Хураамжийн орлого,            Эрдэнэдалай,,870.4,"1,491.3","5,168.1","9,032.5","16,102.","7,842.6","22,870.1","24,912.3","43,468.7"
Хураамжийн орлого,Зүүн бүс,"175,162.2","195,633.3","197,834.2","250,508.6","208,407.","300,735.","244,261.4","334,403.2","487,125.6","649,526."
Хураамжийн орлого,    Дорнод,,"32,759.9","38,997.8","64,608.1","52,305.","31,960.","40,479.1","59,051.5","98,655.6","156,554.4"
Хураамжийн орлого,        Хэрлэн,,"2,961.7","1,095.","1,191.4",720.,434.,"2,813.6","4,995.6","8,840.","9,570."
Хураамжийн орлого,        Баяндун,,0.,"1,993.3",450.,"2,790.5",,460.,"2,100.","5,990.","14,910."
Хураамжийн орлого,        Баянтүмэн,,"1,067.2",752.8,"7,317.4","2,208.6","3,119.","1,250.","3,110.8","6,952.8","14,996.1"
Хураамжийн орлого,        Баян-Уул,,"1,413.2","1,543.4","3,977.8",0.,249.,400.,"2,460.","7,560.","11,450."
Хураамжийн орлого,            Булган,,"5,532.8","5,712.8","6,135.3","2,911.3","2,702.","5,597.6","3,604.9","6,796.2","9,976.3"
Хураамжийн орлого,            Гурванзагал,,"3,459.1","5,886.8","5,789.","4,288.8",100.,"1,620.","4,480.","4,420.","7,310."
Хураамжийн орлого,            Дашбалбар,,"2,033.2","6,119.","5,266.9","6,830.2","1,009.",320.,"5,330.","6,160.","12,130."
Хураамжийн орлого,            Матад,,"3,819.",355.2,"10,337.3","6,622.6","6,445.","4,838.","7,386.7","10,636.5","16,730.8"
Хураамжийн орлого,            Сэргэлэн,,"1,590.9","5,279.8","5,747.3","7,968.4","7,774.","8,975.9","5,565.6","6,220.","12,232.8"
Хураамжийн орлого,            Халхгол,,"1,727.3","3,220.2","6,022.","6,911.9","2,020.","1,787.6","3,670.","3,708.5","4,530."
Хураамжийн орлого,            Хөлөнбуйр,,"3,248.3","3,202.8","3,202.","4,355.3",56.,"5,649.8","3,460.","2,660.","6,660."
Хураамжийн орлого,            Цагаан-Овоо,,"4,204.4","2,707.","4,285.8","1,311.","6,856.","2,620.","4,525.2","14,900.","15,320."
Хураамжийн орлого,            Чойбалсан,,"1,498.2",680.7,"4,708.","5,283.6","1,194.","3,436.6","5,382.7","8,971.7","13,088.4"
Хураамжийн орлого,        Чулуунхороот,,204.5,448.9,177.9,102.9,,710.,"2,980.","4,840.","7,650."
Хураамжийн орлого,    Сүхбаатар,"78,160.3","96,785.","83,912.8","106,887.","103,761.5","82,360.","77,768.3","124,173.5","159,740.7","221,978."
Хураамжийн орлого,        Баруун-Урт,"3,126.5","2,364.1","2,412.3","3,258.3","4,372.1","2,800.","5,623.9","7,198.1","6,815.3","19,488."
Хураамжийн орлого,        Асгат,"3,459.8","3,478.3","2,437.3","1,908.3","1,912.","4,190.","3,576.6","7,384.2","10,391.6","10,954.2"
Хураамжийн орлого,        Баяндэлгэр,"7,474.5","10,619.","9,635.1","11,236.3","12,582.1","6,704.","12,700.9","17,079.5","21,578.6","30,720.3"
Хураамжийн орлого,        Дарьганга,"2,621.6","2,807.","1,274.7","7,195.","3,185.",,200.,"7,590.","9,040.","9,550."
Хураамжийн орлого,            Мөнххаан,"6,059.7","5,822.3","7,025.1","8,424.7","9,299.2","15,732.","6,533.3","21,944.9","31,566.5","37,183.3"
Хураамжийн орлого,            Наран,"5,403.7","4,019.4","1,990.8","4,117.2","4,111.4","1,757.","1,459.6","3,850.","5,723.6","6,525.9"
Хураамжийн орлого,            Онгон,"3,763.7","8,533.4","5,102.2","8,485.","5,693.3","4,461.","3,553.1","7,091.9","10,979.3","14,319.8"
Хураамжийн орлого,            Сүхбаатар,"2,850.9","1,597.5",200.,"6,158.9","7,054.6","5,637.","4,276.9","9,014.5","12,382.4","16,252.7"
Хураамжийн орлого,            Түвшинширээ,"14,606.1","23,475.7","21,760.4","18,561.","21,956.6","13,175.","16,878.7","12,819.9","12,718.4","21,794."
Хураамжийн орлого,            Түмэнцогт,"7,819.2","6,828.8","5,006.8","5,074.3","1,761.3","7,513.","5,967.3","5,207.9","5,843.3","9,713.5"
Хураамжийн орлого,            Уулбаян,"6,298.","10,319.4","12,127.6","12,148.9","14,765.9","14,360.","9,261.4","10,312.1","15,001.1","23,138.6"
Хураамжийн орлого,            Халзан,"5,718.6","8,401.","8,650.5","11,044.3","10,452.7","1,581.","2,034.6","5,468.","7,752.","8,161.7"
Хураамжийн орлого,            Эрдэнэцагаан,"8,958.1","8,518.9","6,289.9","9,274.9","6,615.3","4,449.","5,701.9","9,212.4","9,948.7","14,175.8"
Хураамжийн орлого,    Хэнтий,"97,001.9","66,088.4","74,923.6","79,013.5","52,340.5","186,415.","126,014.","151,178.2","228,729.3","270,993.6"
Хураамжийн орлого,        Хэрлэн,"4,882.8","6,846.2","4,829.2","3,983.","2,037.","10,425.","8,376.6","16,262.9","21,341.6","22,042.4"
Хураамжийн орлого,        Батноров,"21,567.","15,867.","24,378.5","10,789.6","5,669.1","18,396.","13,037.2","12,782.6","23,290.4","21,174."
Хураамжийн орлого,        Батширээт,"1,077.2",399.8,478.5,479.2,183.6,232.,90.,992.6,"4,532.1","3,221.2"
Хураамжийн орлого,        Баян-Адарга,"5,579.","3,242.5","2,178.8","2,452.8",166.2,"14,159.","7,013.4","7,714.3","7,220.2","12,488.9"
Хураамжийн орлого,            Баянмөнх,813.9,445.1,"1,593.6","4,507.1","1,335.2","13,378.","4,956.6","6,520.","9,802.6","11,257.1"
Хураамжийн орлого,            Баян-Овоо,"17,723.4","12,345.8","11,383.","11,028.6","6,905.5","24,453.","17,772.","13,521.2","19,276.9","31,015.5"
Хураамжийн орлого,            Баянхутаг,"8,823.6","3,517.5","3,913.5","6,380.1","5,931.6","20,388.","4,274.6","13,867.3","15,396.","26,101.6"
Хураамжийн орлого,            Биндэр,"2,049.7","1,112.9",157.5,"2,454.","1,823.9","3,582.","4,155.3","10,779.1","11,222.2","9,414.8"
Хураамжийн орлого,            Галшир,"5,328.6","3,218.9","6,736.3","8,571.5","8,743.5","16,649.","25,709.4","11,480.5","20,544.4","28,071.5"
Хураамжийн орлого,            Дадал,98.8,249.9,411.9,399.5,185.8,60.,43.2,"1,450.","2,267.7","1,600."
Хураамжийн орлого,            Дархан,"1,689.9","1,717.8",362.4,"2,744.9","2,249.4","2,567.",500.8,"3,342.4","12,340.","19,177.5"
Хураамжийн орлого,            Дэлгэрхаан,"7,815.4","6,125.6","8,203.9","9,170.1","6,863.5","17,168.","14,242.3","10,353.9","16,482.7","9,853.4"
Хураамжийн орлого,            Жаргалтхаан,"10,486.5","3,907.2","4,489.9","3,900.6","2,247.9","13,559.","5,830.2","5,914.2","7,794.1","4,542.7"
Хураамжийн орлого,        Мөрөн,"2,298.9","1,137.2",138.,"1,781.8",359.8,"9,149.","3,042.4","4,938.","8,894.8","6,916."
Хураамжийн орлого,            Норовлин,831.5,"2,420.6",878.7,"1,489.7","1,829.9","3,010.","4,365.1","2,314.5","8,645.5","10,241.6"
Хураамжийн орлого,            Өмнөдэлгэр,"3,389.7","2,841.9","1,681.9","4,380.1","2,501.4","11,639.","9,067.","23,541.1","26,341.8","38,226."
Хураамжийн орлого,            Цэнхэрмандал,"2,546.",692.5,"3,108.2","2,636.1","2,739.1","6,802.","3,250.3","4,103.7","8,952.2","12,520."
Хураамжийн орлого,            Бор-Өндөр,,,,"1,864.9",568.3,799.,287.5,"1,300.1","4,384.","3,129.6"
Хураамжийн орлого,Улаанбаатар,,,,,132.7,,"3,388.3","2,597.","4,530.","4,942.7"
Хураамжийн орлого,    Улаанбаатар,,,,,132.7,,,,"2,100.","3,760."
Хураамжийн орлого,        Багануур,,,,,,,,,"2,230.",411.7
Хураамжийн орлого,        Багахангай,,,,,,,,,100.,310.
Хураамжийн орлого,            Налайх,,,,,,,,,100.,461.
