Index,Bag,ProvinceName,Sumd,StockType,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
244,          Хөхморьт,Говь-Алтай,Хөхморьт,Хонь,36.61,40.2,36.78,34.9,39.02,42.78,42.83,38.26,39.85,39.7,43.02,37.66,42.47,37.46,38.23,42.77,46.9,49.33,54.65,57.89,61.03,53.19,42.66,47.22,46.37,48.05,47.53,42.89,37.59,38.37,37.93,28.85,8.22,11.87,16.94,20.53,26.24,34.97,35.68,31.42,12.55,15.42,24.04,29.33,36.33,40.72,51.29,53.79,51.33
250,        Цогт,Говь-Алтай,Цогт,Хонь,56.84,60.76,61.66,62.81,56.87,58.48,59.15,63.72,64.72,63.98,65.86,67.54,63.82,64.62,43.04,48.46,48.91,47.25,46.62,50.45,56.4,55.51,58.11,55.94,62.87,67.26,64.81,66.07,62.68,65.24,63.06,52.54,20.74,24.98,30.01,36.92,43.36,47.87,38.37,38.21,29.21,34.42,46.3,51.88,54.79,56.13,71.36,78.85,71.27
256,          Цээл,Говь-Алтай,Цээл,Хонь,39,39.66,35.75,36.88,36.91,42.78,43.71,45.77,48.68,44.39,43.94,43.67,43.02,39.85,37.58,40.86,39.95,42.43,42.81,45.25,48.74,50.19,57.96,56.38,59.57,55.88,53.1,53.67,52.02,53.96,58.97,37.8,14.81,16.52,20.34,25.67,28.86,31.54,26.14,22.37,15.19,17.24,22.79,26.97,31.59,38.34,46.1,50.16,46.47
262,          Чандмань,Говь-Алтай,Чандмань,Хонь,37.92,40.72,41.5,47.73,42.42,45.57,46.12,47.99,44.25,42.02,43.81,45.17,46.14,48.37,44.69,48.95,48.07,47.33,39.54,40.79,43.26,45.67,43.02,37.79,41.94,41.98,39.66,41.53,41.58,36.43,40.09,31.99,9.19,11.36,14.5,17.66,23.23,28.61,31.85,30.12,20.52,27.01,36.19,43.61,47.86,56.09,68.35,79.65,76.39
268,          Шарга,Говь-Алтай,Шарга,Хонь,30.37,31.43,30.16,32.59,35.49,35.58,34.49,37.7,38.38,38.63,38.48,39.98,39.4,33.81,37.75,41.81,42.7,44.7,46.5,44.8,44.82,45.15,48.46,44.4,43.45,40.3,38.6,36.34,33.72,38.88,40.14,30.6,12.69,13.89,15.67,19.34,22.51,22.67,23.96,19.65,11.57,14.86,17.25,20.66,24.41,28.56,34.58,35.1,30.09
274,          Эрдэнэ,Говь-Алтай,Эрдэнэ,Хонь,38.29,37.65,37.73,37.31,35.66,36.89,33.38,34.82,35.04,37.81,39.22,40.63,42.92,43.39,37.38,39.66,39.53,39.06,34.4,30.94,33.28,33.15,35.75,28.21,32.59,35.01,34.64,37.72,39.7,39.22,38.07,28.3,11.68,14.28,17.02,20.69,25.9,31.49,33.89,32.25,17.82,17.12,21.07,26.61,32.31,38.04,48.01,54.89,51.15
280,      Баян-Өлгий,Баян-Өлгий,Баян-Өлгий,Хонь,637.79,646.6,648.35,684.65,662.36,631.09,632.2,590.26,588.06,630.91,652.37,678.67,697.25,672.03,688.43,702.09,729.92,735.53,741.04,770.26,797.31,704.32,605.16,559.12,613.1,694.86,701.24,746.23,650.61,644.72,617.13,592.42,540.57,546.17,554.3,557.46,603.01,640.99,605.04,524.34,459.83,506.91,574.38,662.83,799.86,850.62,937.71,995.22,979.6
286,        Өлгий,Баян-Өлгий,Өлгий,Хонь,4.76,3.02,1.79,1.76,1.34,2.11,1.88,2.09,0.55,0.36,0.41,0.33,0.45,0.68,1.72,0.99,1.3,2.06,3.02,7.91,16.06,10.95,7.87,1.61,8.21,8.82,6.32,5.76,5.1,4.91,4.21,3.55,2.56,2.89,2.72,2.88,3.36,4.58,4.64,4.18,4.07,4.22,4.85,5.97,6.52,5.76,6.47,6.59,6.38
292,        Алтай,Баян-Өлгий,Алтай,Хонь,45.2,46.98,46.85,48.35,42.51,40.44,38.9,34.69,37.74,40.64,43.42,45.88,47.14,45.13,48.61,52.49,55.2,51.51,47.15,49.61,50.88,47.61,39.85,29.42,34.01,38.62,42.01,44.27,35.54,38.97,40.48,38.95,40.34,35.06,37.06,38.72,42.27,48.62,47.9,48.84,49.15,51.13,58.42,60.17,72.56,76.66,78.08,84.12,81.26
298,        Алтанцөгц,Баян-Өлгий,Алтанцөгц,Хонь,31.54,31.03,31.28,33.37,36.23,33.71,30.68,28.13,27.48,29.29,30.59,32.32,33.89,31.76,33.77,35.06,35.71,37.55,39.48,40.79,40.14,32.17,31.43,27.45,31.85,37.22,35.64,40.08,34.81,29.58,24.38,26.81,26.5,27.29,29.18,26.31,32.76,35.59,30.76,15.74,13.05,15.7,18.81,23.15,29.23,32.07,37.24,41.66,44.21
