"МОНГОЛ УЛСАД ОРШИН СУУГАА ХҮН АМЫН ТОО, баг/хороо, хот/хөдөөгөөр
",,,,,,
"Баг, хороо",2014,2015,2016,2017,2018,2019
                Сайнцагаан,"14,008.","14,294.","15,120.","15,508.","15,762.","15,764."
"                        1-р баг, Наран",627.,692.,710.,752.,761.,788.
"                        2-р баг, Тэвш",814.,808.,821.,817.,803.,797.
"                        3-р баг, Далай",883.,904.,920.,955.,950.,960.
"                        4-р баг, Үйзэн",750.,758.,778.,786.,815.,807.
"                        5-р баг, Аривжих","1,594.","1,656.","1,752.","1,858.","1,871.","1,794."
"                        6-р баг, Боржигон","1,900.","1,953.","2,001.","1,997.","1,947.","1,867."
"                        7-р баг, Нарлаг","2,981.","3,129.","3,468.","3,660.","3,737.","3,774."
"                        8-р баг, Айраг","2,068.","1,973.","2,080.","2,048.","2,091.","2,094."
"                        9-р баг, Мандал","2,391.","2,421.","2,590.","2,635.","2,787.","2,883."
                Адаацаг,"2,859.","2,801.","2,826.","2,925.","2,888.","2,832."
"                        1-р баг, Тавин",487.,490.,469.,530.,521.,525.
"                        2-р баг, Ар-Урт",597.,579.,578.,585.,568.,562.
"                        3-р баг, Өвөр-Урт",534.,498.,512.,518.,509.,505.
"                        4-р баг, Сүм",534.,557.,584.,618.,608.,600.
"                        5-р баг, Хашаат",707.,677.,683.,674.,682.,640.
                Баянжаргалан,"1,178.","1,189.","1,168.","1,195.","1,276.","1,301."
"                        1-р баг, Шилийн гол",261.,256.,245.,253.,278.,294.
"                        2-р баг, Энгэр-Ус",404.,415.,417.,442.,453.,468.
"                        3-р баг, Аргатай",513.,518.,506.,500.,545.,539.
                Говь-Угтаал,539.,"1,574.","1,586.","1,591.","1,586.","1,540."
"                        1-р баг, Ажирхай",570.,591.,584.,564.,566.,429.
"                        2-р баг, Морьт",543.,537.,544.,575.,572.,377.
"                        3-р баг, Хонгор",451.,446.,458.,452.,448.,318.
"                        4-р баг, Өрнөлт",,,,,,416.
                    Гурвансайхан,"2,095.","2,073.","2,088.","2,149.","2,093.","2,133."
"                            1-р баг, Элгэн",384.,381.,373.,388.,369.,378.
"                            2-р баг, Дэрсэнэ ус",448.,450.,458.,495.,503.,531.
"                            3-р баг, Чулуут",445.,445.,463.,486.,473.,462.
"                            4-р баг, Гурвансайхан",386.,373.,387.,396.,384.,406.
"                            5-р баг, Суугаант",432.,424.,407.,384.,364.,356.
                    Дэлгэрхангай,"2,148.","2,158.","2,209.","2,279.","2,291.","2,301."
"                            1-р баг, Толь",602.,605.,611.,622.,633.,621.
"                            2-р баг, Таргат",455.,467.,482.,522.,522.,540.
"                            3-р баг, Ар шавагтай",543.,556.,574.,598.,593.,587.
"                            4-р баг, Номгон",548.,530.,542.,537.,543.,553.
                    Дэлгэрцогт,"1,552.","1,547.","1,616.","1,677.","1,694.","1,639."
"                            1-р баг, Баянбулаг",543.,540.,550.,561.,579.,582.
"                            2-р баг, Цахиурт",532.,516.,557.,586.,584.,546.
"                            3-р баг, Дэлгэр-Эмт",477.,491.,509.,530.,531.,511.
                    Дэрэн,"2,026.","2,026.","2,065.","2,080.","2,105.","2,142."
"                            1-р баг, Алаг-Өндөр",553.,566.,575.,573.,576.,604.
"                            2-р баг, Саруул",499.,487.,514.,532.,562.,562.
"                            3-р баг, Долоод",502.,497.,497.,490.,501.,503.
"                            4-р баг, Бумбат",472.,476.,479.,485.,466.,473.
                    Луус,"1,822.","1,791.","1,776.","1,827.","1,864.","1,883."
"                            1-р баг, Суварга",719.,724.,726.,736.,748.,770.
"                            2-р баг, Наран",565.,550.,553.,585.,610.,622.
"                            3-р баг, Буянт",538.,517.,497.,506.,506.,491.
                    Өлзийт,"2,295.","2,319.","2,386.","2,352.","2,363.","2,373."
"                            1-р баг, Буянт",309.,332.,343.,359.,349.,359.
"                            2-р баг, Буянт-2",441.,447.,449.,427.,436.,430.
"                            3-р баг, Тагт",255.,253.,289.,293.,317.,313.
"                            4-р баг, Дэрт-1",289.,297.,298.,297.,307.,312.
"                            5-р баг, Дэрт-2",513.,502.,510.,529.,529.,556.
"                            6-р баг, Рашаант",488.,488.,497.,447.,425.,403.
                    Өндөршил,"1,443.","1,410.","1,446.","1,421.","1,421.","1,406."
"                            1-р баг, Цог",739.,729.,699.,736.,509.,542.
"                            2-р баг, Талын нар",704.,681.,747.,685.,526.,517.
"                            3-р баг, Бөхт",,,,,386.,347.
                    Сайхан-Овоо,"2,220.","2,136.","2,144.","2,180.","2,156.","2,131."
"                            1-р баг, Онги",662.,630.,630.,646.,646.,635.
"                            2-р баг, Мааньт",546.,490.,487.,472.,468.,467.
"                            3-р баг, Найз",503.,532.,533.,530.,525.,514.
"                            4-р баг, Төгрөг",509.,484.,494.,532.,517.,515.
                    Хулд,"2,352.","2,295.","2,379.","2,422.","2,416.","2,383."
"                            1-р баг, Шувуутай",515.,494.,481.,485.,482.,479.
"                            2-р баг, Олдох",678.,664.,691.,708.,704.,692.
"                            3-р баг, Уул",631.,611.,624.,638.,644.,648.
"                            4-р баг, Бүлээн",528.,526.,583.,591.,586.,564.
                Цагаандэлгэр,"1,003.",975.,"1,005.","1,047.","1,058.","1,038."
"                        1-р баг, Хараат",342.,316.,325.,338.,334.,330.
"                        2-р баг, Дэлгэрэх зам",196.,191.,199.,217.,222.,220.
"                        3-р баг, Жаргалант",181.,192.,201.,203.,204.,193.
"                        4-р баг, Замын-Улаан",284.,276.,280.,289.,298.,295.
                    Эрдэнэдалай,"5,642.","5,590.","5,701.","5,730.","5,847.","5,832."
"                            1-р баг, Цавчир",538.,549.,591.,638.,683.,665.
"                            2-р баг, Өнгөт",694.,705.,704.,719.,711.,708.
"                            3-р баг, Тэнгэлэг",538.,524.,552.,556.,563.,581.
"                            4-р баг, Рашаант",849.,849.,883.,916.,914.,915.
"                            5-р баг, Цагаан-Овоо",797.,795.,817.,816.,831.,821.
"                            6-р баг, Сангийн далай",814.,835.,832.,838.,907.,910.
"                            7-р баг, Сумын төв","1,412.","1,333.","1,322.","1,247.","1,238.","1,232."
    Зүүн бүс,"203,402.","207,519.","211,412.","216,849.","222,570.","222,224."
            Дорнод,"74,923.","76,388.","77,772.","79,507.","82,295.","82,020."
                Хэрлэн,"41,932.","42,877.","44,277.","45,352.","46,710.","46,221."
                        1-р баг,"5,349.","5,449.","5,525.","5,575.","5,686.","5,622."
                        2-р баг,"5,535.","5,785.","5,862.","5,964.","6,084.","5,916."
                        3-р баг,"2,276.","2,305.","2,379.","2,400.","2,422.","2,390."
                        4-р баг,"6,496.","6,498.","6,711.","6,980.","7,139.","7,151."
                        5-р баг,655.,644.,814.,809.,749.,776.
                        6-р баг,"4,399.","4,440.","4,684.","4,844.","5,109.","5,229."
                        7-р баг,"3,694.","3,853.","3,939.","4,084.","4,229.","4,131."
                        8-р баг,"1,862.","1,811.","1,844.","1,858.","1,803.","1,777."
                        9-р баг,"4,682.","4,829.","5,054.","5,187.","5,397.","5,307."
                        10-р баг,"6,984.","7,263.","7,465.","7,651.","5,136.","4,946."
                        11-р баг,,,,,"2,956.","2,976."
                Баяндун,"2,990.","2,962.","3,049.","3,079.","3,112.","3,094."
"                        1-р баг, Түргэн",693.,701.,700.,692.,720.,793.
"                        2-р баг, Хайрхан",465.,467.,473.,484.,493.,507.
"                        3-р баг, Яргай",552.,540.,568.,572.,581.,595.
"                        4-р баг, Наран","1,280.","1,254.","1,308.","1,331.","1,318.","1,199."
                Баянтүмэн,"2,096.","2,163.","2,285.","2,388.","2,492.","2,498."
"                        1-р баг, Цагаан дэрс",880.,895.,933.,915.,905.,882.
"                        2-р баг, Жаргалант",545.,550.,598.,630.,661.,691.
"                        3-р баг, Өлзийт баг",424.,430.,448.,512.,534.,546.
"                        4-р баг, Хотонт",247.,288.,306.,331.,392.,379.
                Баян-Уул,"4,469.","4,464.","4,580.","4,654.","4,662.","4,664."
"                        1-р баг, Заяат",526.,564.,586.,606.,600.,620.
"                        2-р баг, Хар чулуут",838.,855.,879.,898.,898.,895.
"                        3-р баг, Урт",528.,531.,547.,564.,578.,606.
"                        4-р баг, Бэрх","1,137.","1,128.","1,123.","1,135.","1,134.","1,151."
"                        5-р баг, Улз",929.,909.,933.,931.,947.,899.
"                        6-р баг, Өвөр эрээн",511.,477.,512.,520.,505.,493.
                    Булган,"1,688.","1,680.","1,768.","1,864.","1,927.","1,968."
"                            1-р баг, Өндөр хошуу",672.,659.,645.,641.,636.,622.
"                            2-р баг, Хулсан шанд",406.,398.,449.,482.,504.,541.
"                            3-р баг, Баян-Уул",229.,226.,251.,272.,291.,288.
"                            4-р баг, Чулуут",381.,397.,423.,469.,496.,517.
                    Гурванзагал,"1,362.","1,337.","1,402.","1,414.","1,420.","1,439."
"                            1-р баг, Рашаант",467.,448.,465.,454.,472.,477.
"                            2-р баг, Цагаан хошуу",415.,424.,455.,469.,458.,474.
"                            3-р баг, Сүмийн булаг",480.,465.,482.,491.,490.,488.
                    Дашбалбар,"3,250.","3,216.","3,241.","3,231.","3,439.","3,433."
"                            1-р баг, Сэвсүүл жараахай",868.,897.,872.,866.,"1,023.",915.
"                            2-р баг, Харзат",568.,563.,567.,592.,599.,627.
"                            3-р баг, Чух",568.,556.,574.,571.,579.,691.
"                            4-р баг, Номинт",536.,531.,552.,547.,564.,550.
"                            5-р баг, Улз",710.,669.,676.,655.,674.,650.
                    Матад,"2,596.","3,463.","2,590.","2,622.","3,373.","3,296."
"                            1-р баг, Жаргалант",388.,406.,413.,398.,439.,450.
"                            2-р баг, Баянхангай",464.,455.,479.,493.,500.,510.
"                            3-р баг, Түмэнхаан",779.,"1,330.",781.,787.,987.,"1,009."
"                            4-р баг, Буян-Өндөр",309.,436.,329.,355.,583.,469.
"                            5-р баг, Мэнэн",305.,310.,201.,178.,145.,211.
"                            6-р баг, Эрдэнэбадрах",351.,526.,387.,411.,719.,647.
                    Сэргэлэн,"1,947.","1,904.","1,964.","1,967.","1,966.","1,990."
"                            1-р баг, Барчин",410.,401.,411.,411.,422.,428.
"                            2-р баг, Архоолой",448.,460.,454.,454.,458.,476.
"                            3-р баг, Баян",297.,286.,298.,291.,301.,304.
"                            4-р баг, Очир хүрээ",291.,288.,309.,323.,320.,318.
"                            5-р баг, Галын гол",501.,469.,492.,488.,465.,464.
                    Халхгол,"3,070.","2,980.","3,002.","3,047.","3,128.","3,334."
"                            1-р баг, Цогтсүмбэр","1,673.","1,647.","1,590.","1,623.","1,624.","1,755."
"                            2-р баг, Ялалт",979.,900.,961.,967.,"1,021.","1,086."
"                            3-р баг, Ташгай",418.,433.,451.,457.,483.,493.
                    Хөлөнбуйр,"1,743.","1,722.","1,772.","1,826.","1,869.","1,868."
"                            1-р баг, Баян-Өлзийт",597.,589.,592.,617.,643.,651.
"                            2-р баг, Батхаан",555.,572.,591.,616.,635.,639.
"                            3-р баг, Баян-Уул",591.,561.,589.,593.,591.,578.
                    Цагаан-Овоо,"3,495.","3,425.","3,500.","3,553.","3,608.","3,710."
"                            1-р баг, Баянгол",386.,386.,390.,407.,409.,431.
"                            2-р баг, Элст",674.,655.,695.,707.,717.,754.
"                            3-р баг, Зүрх",526.,526.,522.,548.,545.,562.
"                            4-р баг, Хүрээт",520.,507.,498.,507.,513.,527.
"                            5-р баг, Гүн цэнгэлэг",343.,353.,366.,372.,376.,387.
"                            6-р баг, Хөөвөр","1,046.",998.,"1,029.","1,012.","1,048.","1,049."
                    Чойбалсан,"2,579.","2,527.","2,615.","2,725.","2,742.","2,676."
"                            1-р баг, Хулстай","1,243.","1,203.","1,264.","1,243.","1,218.","1,158."
"                            2-р баг, Сүмбэр",573.,567.,594.,641.,673.,675.
"                            3-р баг, Энгэр шанд",435.,442.,431.,479.,482.,481.
"                            4-р баг, Хөхнуур",328.,315.,326.,362.,369.,362.
                Чулуунхороот,"1,706.","1,668.","1,727.","1,785.","1,847.","1,829."
"                        1-р баг, Дэлгэр",666.,662.,684.,692.,675.,673.
"                        2-р баг, Галуут",356.,371.,384.,393.,425.,454.
"                        3-р баг, Цагаанчулуут",684.,635.,659.,700.,747.,702.
            Сүхбаатар,"57,414.","58,792.","60,032.","61,323.","62,611.","62,884."
                Баруун-Урт,"18,887.","19,665.","20,376.","21,051.","21,550.","21,852."
                        1-р баг,"3,216.","3,326.","3,434.","3,586.","3,717.","3,705."
                        2-р баг,"1,493.","1,454.","1,501.","1,547.","1,685.","1,859."
                        3-р баг,"1,652.","1,672.","1,722.","1,725.","1,655.","1,571."
                        4-р баг,"2,331.","2,306.","2,350.","2,401.","2,406.","2,415."
                        5-р баг,"3,701.","2,753.","2,838.","2,917.","2,971.","2,977."
                        6-р баг,"1,807.","1,774.","1,722.","1,734.","1,751.","1,722."
                        7-р баг,"1,839.","2,098.","2,364.","2,478.","2,507.","2,636."
                        8-р баг,"1,638.","2,997.","3,137.","3,199.","3,298.","3,291."
                        9-р баг,"1,210.","1,285.","1,308.","1,464.","1,560.","1,676."
                Асгат,"1,728.","1,712.","1,741.","1,808.","1,880.","1,878."
"                        1-р баг, Өлзийт",335.,329.,336.,349.,365.,384.
"                        2-р баг, Дөхөм",452.,432.,413.,438.,464.,464.
"                        3-р баг, Их-Уул",409.,413.,419.,445.,467.,462.
"                        4-р баг, Жаргалант",532.,538.,573.,576.,584.,568.
                Баяндэлгэр,"4,747.","4,801.","4,891.","4,958.","5,033.","5,046."
"                        1-р баг, Баян",771.,812.,819.,833.,839.,849.
"                        2-р баг, Дэлгэр",752.,758.,777.,758.,769.,768.
"                        3-р баг, Төв",643.,641.,641.,675.,699.,700.
"                        4-р баг, Дөхөм",886.,884.,921.,944.,976.,999.
"                        5-р баг, Хонгор",807.,834.,835.,849.,852.,847.
"                        6-р баг, Ширээт",888.,872.,898.,899.,898.,883.
                Дарьганга,"2,897.","2,994.","3,024.","3,056.","3,083.","3,079."
"                        1-р баг, Үүд",618.,645.,644.,629.,640.,647.
"                        2-р баг, Бадрах",680.,703.,725.,758.,767.,763.
"                        3-р баг, Аман-Ус",527.,533.,529.,534.,543.,556.
"                        4-р баг, Овоот","1,072.","1,113.","1,126.","1,135.","1,133.","1,113."
                    Мөнххаан,"4,366.","4,517.","4,551.","4,746.","4,828.","4,845."
"                            1-р баг, Баянтэрэм",801.,843.,876.,979.,"1,019.","1,020."
"                            2-р баг, Баян-Уул",848.,884.,859.,910.,922.,929.
"                            3-р баг, Баянцагаан",896.,919.,943.,"1,004.","1,017.","1,008."
"                            4-р баг, Баясгалант","1,186.","1,210.","1,197.","1,171.","1,180.","1,203."
"                            5-р баг, Бүрэнцогт",635.,661.,676.,682.,690.,685.
                    Наран,"1,534.","1,552.","1,595.","1,618.","1,640.","1,637."
"                            1-р баг, Гүн худаг",469.,467.,489.,504.,517.,520.
"                            2-р баг, Тосонгийн гол",665.,666.,680.,706.,713.,718.
"                            3-р баг, Наранбулаг",400.,419.,426.,408.,410.,399.
                    Онгон,"3,647.","3,786.","3,757.","3,779.","3,835.","3,824."
"                            1-р баг, Ихбулаг",905.,929.,956.,977.,"1,015.","1,020."
"                            2-р баг, Шарбүрд",646.,660.,663.,665.,684.,679.
"                            3-р баг, Нүдэн",918.,932.,943.,952.,957.,966.
"                            4-р баг, Цөнгөрөг",557.,610.,525.,518.,494.,476.
"                            5-р баг, Хавирга",621.,655.,670.,667.,685.,683.
                    Сүхбаатар,"3,134.","3,188.","3,167.","3,253.","3,389.","3,393."
"                            1-р баг, Баянгол",745.,740.,754.,760.,757.,768.
"                            2-р баг, Хайлаастай",658.,693.,671.,675.,683.,682.
"                            3-р баг, Хулгар",923.,936.,966.,"1,020.","1,044.","1,056."
"                            4-р баг, Ланз",425.,435.,435.,442.,478.,474.
"                            5-р баг, Шинэбулаг",383.,384.,341.,356.,427.,413.
                    Түвшинширээ,"3,151.","3,251.","3,302.","3,315.","3,398.","3,384."
"                            1-р баг, Сэргэлэн",676.,723.,715.,725.,744.,749.
"                            2-р баг, Өлзийт",571.,598.,611.,615.,671.,699.
"                            3-р баг, Үнэгт",571.,587.,606.,595.,581.,569.
"                            4-р баг, Дэлгэрхаан",525.,515.,520.,514.,510.,479.
"                            5-р баг, Өгөөмөр",808.,828.,850.,866.,892.,888.
                    Түмэнцогт,"2,360.","2,398.","2,468.","2,468.","2,496.","2,486."
"                            1-р баг, Лхүмбэ",717.,757.,782.,790.,802.,795.
"                            2-р баг, Баянцагаан",635.,649.,665.,674.,683.,669.
"                            3-р баг, Баян-Овоо",529.,510.,536.,523.,518.,504.
"                            4-р баг, Баянцогт",479.,482.,485.,481.,493.,518.
                    Уулбаян,"2,817.","2,854.","2,876.","2,894.","2,938.","2,941."
"                            1-р баг, Баян",810.,819.,821.,829.,862.,888.
"                            2-р баг, Жаргалант",771.,752.,770.,755.,761.,764.
"                            3-р баг, Тэгш",578.,603.,613.,641.,654.,635.
"                            4-р баг, Жавхлант",314.,337.,319.,315.,305.,303.
"                            5-р баг, Дэлгэр",344.,343.,353.,354.,356.,351.
                    Халзан,"1,597.","1,598.","1,666.","1,700.","1,741.","1,751."
"                            1-р баг, Халзан шанд",455.,470.,455.,469.,471.,464.
"                            2-р баг, Сахиул",203.,195.,257.,237.,245.,251.
"                            3-р баг, Сайншанд",309.,308.,311.,317.,335.,306.
"                            4-р баг, Хатавч",630.,625.,643.,677.,690.,730.
                    Эрдэнэцагаан,"6,549.","6,476.","6,618.","6,677.","6,800.","6,768."
"                            1-р баг, Хөдлөн хайлааст",972.,968.,989.,"1,018.","1,023.","1,029."
"                            2-р баг, Цагаан овоо","1,046.","1,024.","1,061.","1,057.","1,084.","1,081."
"                            3-р баг, Бадрах",635.,624.,658.,683.,706.,709.
"                            4-р баг, Хонгор",544.,547.,556.,579.,592.,613.
"                            5-р баг, Билүүт","1,066.","1,030.","1,035.","1,007.","1,028.","1,000."
"                            6-р баг, Жаргалант",676.,684.,720.,717.,721.,721.
"                            7-р баг, Хадын булаг",765.,779.,755.,752.,778.,767.
"                            8-р баг, Алтан овоо",845.,820.,844.,864.,868.,848.
            Хэнтий,"71,065.","72,339.","73,608.","76,019.","77,664.","77,320."
                Хэрлэн,"20,585.","21,520.","21,970.","22,961.","23,671.","23,765."
"                        1-р баг, Хэрлэн","3,589.","3,630.","3,657.","3,686.","3,794.","3,716."
"                        2-р баг, Булаг","3,622.","3,667.","3,742.","3,870.","4,050.","4,026."
"                        3-р баг, Баянмөнх","4,145.","4,278.","4,266.","4,521.","4,612.","4,687."
"                        4-р баг, Сариг","3,173.","3,915.","4,105.","4,495.","4,788.","5,007."
"                        5-р баг, Өндөрхаан","4,110.","3,993.","4,023.","4,195.","4,197.","4,077."
"                        6-р баг, Цогт-Өндөр",303.,319.,383.,397.,416.,417.
"                        7-р баг, Номгон",966.,997.,"1,049.","1,049.","1,037.","1,055."
"                        8-р баг, Ишгэн толгой",677.,721.,745.,748.,777.,780.
                Батноров,"5,425.","5,413.","5,467.","5,512.","5,591.","5,538."
"                        1-р баг, Эрдэнэчандмань",237.,257.,252.,265.,262.,251.
"                        2-р баг, Эхэнбүрд",511.,529.,557.,569.,587.,579.
"                        3-р баг, Баян",581.,573.,593.,587.,579.,607.
"                        4-р баг, Баянбулаг",525.,524.,540.,565.,592.,616.
"                        5-р баг, Идэрмэг",252.,280.,309.,320.,330.,323.
"                        6-р баг, Дундбүрд",897.,899.,903.,901.,878.,880.
"                        7-р баг, Бэрх","2,422.","2,351.","2,313.","2,305.","2,363.","2,282."
                Батширээт,"2,149.","2,248.","2,312.","2,340.","2,377.","2,349."
"                        1-р баг, Онон",348.,363.,366.,364.,369.,512.
"                        2-р баг, Барх",414.,430.,443.,459.,470.,484.
"                        3-р баг, Хурх",387.,440.,471.,477.,518.,359.
"                        4-р баг, Норовлин","1,000.","1,015.","1,032.","1,040.","1,020.",994.
                Баян-Адарга,"2,410.","2,418.","2,394.","2,496.","2,524.","2,462."
"                        1-р баг, Сайхан",576.,586.,583.,603.,628.,614.
"                        2-р баг, Жаргалант",420.,420.,441.,452.,456.,435.
"                        3-р баг, Адарга",506.,525.,507.,570.,577.,574.
"                        4-р баг, Дуурлиг",908.,887.,863.,871.,863.,839.
                    Баянмөнх,"1,587.","1,627.","1,665.","1,673.","1,711.","1,743."
"                            1-р баг, Баянбулаг",384.,391.,405.,418.,427.,465.
"                            2-р баг, Хэрлэн",407.,418.,445.,467.,482.,508.
"                            3-р баг, Дулаан",446.,468.,468.,461.,472.,463.
"                            4-р баг, Улаан-Эрэг",350.,350.,347.,327.,330.,307.
                    Баян-Овоо,"1,660.","1,657.","1,709.","1,779.","1,888.","1,894."
"                            1-р баг, Дэлгэрхаан",305.,307.,328.,378.,407.,420.
"                            2-р баг, Наран",338.,357.,381.,413.,456.,449.
"                            3-р баг, Сүмбэр",337.,342.,365.,419.,448.,487.
"                            4-р баг, Жавхлант",680.,651.,635.,569.,577.,538.
                    Баянхутаг,"2,091.","2,158.","2,244.","2,379.","2,444.","2,424."
"                            1-р баг, Жаргалант",763.,812.,864.,938.,"1,000.","1,013."
"                            2-р баг, Улаан-Өндөр",741.,719.,760.,787.,781.,764.
"                            3-р баг, Цантын хоолой",587.,627.,620.,654.,663.,647.
                    Биндэр,"4,030.","3,976.","4,004.","4,013.","4,063.","4,034."
"                            1-р баг, Баян-Өндөр",609.,608.,613.,621.,655.,658.
"                            2-р баг, Мандалхаан",667.,681.,700.,695.,693.,696.
"                            3-р баг, Баянгол",813.,806.,820.,824.,841.,821.
"                            4-р баг, Дэлгэрхаан",640.,642.,657.,659.,651.,647.
"                            5-р баг, Онон","1,301.","1,239.","1,214.","1,214.","1,223.","1,212."
                    Галшир,"2,131.","2,112.","2,194.","2,245.","2,253.","2,179."
"                            1-р баг, Арвин",253.,256.,273.,294.,297.,296.
"                            2-р баг, Оч",499.,481.,491.,475.,470.,432.
"                            3-р баг, Баянбадрал",243.,256.,265.,290.,294.,340.
"                            4-р баг, Сангийндалай",405.,384.,413.,420.,421.,382.
"                            5-р баг, Жаргалант",360.,382.,387.,392.,392.,365.
"                            6-р баг, Буянтбулаг",371.,353.,365.,374.,379.,364.
                    Дадал,"2,802.","2,821.","2,892.","3,006.","3,089.","3,057."
"                            1-р баг, Онон","1,454.","1,479.","1,494.","1,570.","1,570.",432.
"                            2-р баг, Агац",585.,560.,583.,589.,608.,495.
"                            3-р баг, Балж",397.,408.,423.,447.,493.,597.
"                            4-р баг, Баян-Овоо",366.,374.,392.,400.,418.,"1,533."
                    Дархан,"1,826.","1,839.","1,903.","1,958.","1,950.","1,920."
"                            1-р баг, Дотуур булаг",637.,649.,671.,680.,691.,661.
"                            2-р баг, Хараат",340.,348.,359.,389.,391.,414.
"                            3-р баг, Шажин",410.,417.,423.,433.,428.,422.
"                            4-р баг, Мэргэн хошуу",439.,425.,450.,456.,440.,423.
"                            5-р баг, Бор-Өндөр",,,,,,0.
                    Дэлгэрхаан,"2,227.","2,339.","2,396.","2,513.","2,555.","2,497."
"                            1-р баг, Хэрлэнбаян улаан",446.,502.,529.,555.,545.,532.
"                            2-р баг, Долоод",491.,507.,498.,525.,540.,533.
"                            3-р баг, Аварга",849.,883.,910.,944.,956.,513.
"                            4-р баг, Хэрлэн тооно",441.,447.,459.,489.,514.,505.
"                            5-р баг, Баянхаан",,,,,,414.
                    Жаргалтхаан,"2,007.","2,092.","2,159.","2,176.","2,253.","2,232."
"                            1-р баг, Гичгэнэ",407.,426.,418.,437.,449.,454.
"                            2-р баг, Баянцогт",265.,282.,295.,303.,305.,307.
"                            3-р баг, Баян-Эрдэнэ",310.,324.,341.,344.,358.,365.
"                            4-р баг, Чулуут",405.,430.,455.,448.,475.,468.
"                            5-р баг, Төвийн",620.,630.,650.,644.,666.,638.
                Мөрөн,"1,837.","1,833.","1,922.","1,915.","1,919.","1,868."
"                        1-р баг, Зөөлөн",399.,384.,386.,379.,364.,359.
"                        2-р баг, Өлзийт",364.,367.,362.,374.,400.,384.
"                        3-р баг, Бүрээт",385.,383.,415.,409.,407.,403.
"                        4-р баг, Цагаан толгой",521.,521.,533.,540.,531.,515.
"                        5-р баг, Чандган",180.,178.,226.,213.,217.,207.
                    Норовлин,"2,329.","2,341.","2,382.","2,480.","2,547.","2,596."
"                            1-р баг, Баян-Өлзийт",526.,538.,539.,546.,539.,565.
"                            2-р баг, Ангирт",296.,303.,321.,344.,345.,347.
"                            3-р баг, Онон",492.,491.,500.,547.,552.,576.
"                            4-р баг, Жаргалант","1,015.","1,009.","1,022.","1,043.","1,111.","1,108."
                    Өмнөдэлгэр,"5,336.","5,521.","5,379.","5,652.","5,789.","5,851."
"                            1-р баг, Наран",619.,626.,623.,666.,656.,640.
"                            2-р баг, Баянзүрх",663.,688.,691.,751.,788.,818.
"                            3-р баг, Хэнтий",864.,967.,908.,"1,001.","1,042.","1,086."
"                            4-р баг, Талын булаг",405.,432.,357.,423.,423.,432.
"                            5-р баг, Чандган",660.,663.,641.,635.,673.,676.
"                            6-р баг, Төвийн","1,200.","1,218.","1,248.","1,263.","1,254.","1,253."
"                            7-р баг, Гурванбаян",925.,927.,911.,913.,953.,946.
                    Цэнхэрмандал,"1,846.","1,848.","1,871.","1,985.","2,059.","2,073."
"                            1-р баг, Нугаар",168.,175.,184.,214.,232.,237.
"                            2-р баг, Согоот",390.,376.,397.,443.,436.,493.
"                            3-р баг, Хужхан",366.,372.,370.,379.,397.,389.
"                            4-р баг, Баянмод",922.,925.,920.,949.,994.,954.
                    Бор-Өндөр,"8,775.","8,576.","8,745.","8,936.","8,981.","8,838."
"                            1-р баг, Бор-Өндөр","2,063.","1,999.","2,043.","2,147.","2,159.","2,014."
"                            2-р баг, Холбоо","2,054.","1,885.","1,868.","1,921.","1,959.","1,992."
"                            3-р баг, Бумбат","1,907.","1,890.","1,942.","1,935.","1,924.","1,911."
"                            4-р баг, Уурхайчин","2,198.","2,207.","2,276.","2,311.","2,272.","2,266."
"                            5-р баг, Хүйх",315.,346.,343.,354.,365.,361.
"                            6-р баг, Өлгий",238.,249.,273.,268.,302.,294.
    Улаанбаатар,"1,314,486.","1,345,500.","1,380,792.","1,417,396.","1,444,669.","1,466,125."
            Улаанбаатар,"1,314,486.","1,345,500.","1,380,792.","1,417,396.","1,444,669.","1,466,125."
                Багануур,"28,333.","28,419.","28,973.","28,787.","29,512.","28,570."
                        1-р хороо,"8,200.","8,423.","8,643.","8,861.","8,578.","8,538."
                        2-р хороо,641.,644.,670.,685.,695.,648.
                        3-р хороо,"8,104.","7,832.","7,793.","7,700.","8,302.","7,965."
                        4-р хороо,"5,030.","5,154.","5,331.","5,187.","5,385.","5,338."
                        5-р хороо,"6,358.","6,366.","6,536.","6,354.","6,552.","6,081."
                Багахангай,"3,903.","4,131.","4,143.","4,100.","4,399.","4,123."
                        1-р хороо,"1,990.","2,176.","2,233.","2,221.","2,403.","2,273."
                        2-р хороо,"1,913.","1,955.","1,910.","1,879.","1,996.","1,850."
                Баянгол,"208,898.","205,663.","214,278.","221,384.","226,869.","225,840."
                        1-р хороо,"17,800.","17,380.","17,259.","17,597.","17,478.","16,858."
                        2-р хороо,"8,185.","7,941.","8,381.","8,467.","8,284.","8,615."
                        3-р хороо,"8,594.","9,357.","11,326.","13,546.","15,831.","16,076."
                        4-р хороо,"15,930.","17,000.","17,896.","19,212.","20,739.","22,018."
                        5-р хороо,"10,010.","9,443.","10,200.","10,540.","10,922.","11,673."
                        6-р хороо,"15,631.","16,027.","16,176.","16,507.","16,790.","16,421."
                        7-р хороо,"11,817.","11,367.","12,456.","12,582.","12,610.","12,465."
                        8-р хороо,"11,618.","11,303.","12,188.","12,072.","12,392.","12,306."
                        9-р хороо,"6,143.","6,557.","7,204.","7,061.","6,959.","6,576."
                        10-р хороо,"8,568.","8,413.","8,550.","8,583.","8,835.","7,853."
