"МОНГОЛ УЛСАД ОРШИН СУУГАА ХҮН АМЫН ТОО, баг/хороо, хот/хөдөөгөөр
",,,,,,
"Баг, хороо",2014,2015,2016,2017,2018,2019
"                            2-р баг, Саралахаз",393.,385.,387.,427.,433.,436.
"                            3-р баг, Хар уул",812.,853.,849.,855.,867.,887.
"                            4-р баг, Чихэртэй",929.,914.,912.,948.,935.,472.
"                            5-р баг, Рашаант",642.,662.,669.,699.,689.,685.
"                            6-р баг, Бугат",636.,637.,643.,654.,651.,645.
"                            7-р баг, Хөх сэрх",699.,706.,701.,710.,706.,685.
"                            8-р баг, Бүргэд",448.,457.,463.,470.,482.,480.
"                            9-р баг, Хөх толгой","1,670.","1,679.","1,708.","1,740.","1,837.","1,195."
"                            10-р баг, Хүйтэн нуур",384.,402.,413.,416.,421.,435.
"                            11-р баг, Чихэртэй",,,,,,427.
"                            12-р баг, Жана ауыл",,,,,,595.
                    Ногооннуур,"7,439.","7,750.","7,842.","7,976.","8,044.","7,941."
"                            1-р баг, Бахлаг",321.,395.,368.,360.,354.,360.
"                            2-р баг, Чихтэй",508.,527.,537.,546.,555.,522.
"                            3-р баг, Ховд",866.,922.,933.,933.,934.,907.
"                            4-р баг, Улаанчулуун","1,213.","1,237.","1,223.","1,241.","1,241.","1,218."
"                            5-р баг, Ямаат","1,235.","1,238.","1,202.","1,218.","1,206.",865.
"                            6-р баг, Хызылхайын",691.,765.,760.,772.,759.,742.
"                            7-р баг, Хосхарагай",930.,908.,944.,976.,"1,008.",811.
"                            8-р баг, Асгат",239.,286.,340.,355.,366.,362.
"                            9-р баг, Цагааннуур","1,436.","1,472.","1,535.","1,575.","1,621.","1,624."
"                            10-р баг, Шар говь",,,,,,326.
"                            11-р баг, Морин толгой",,,,,,204.
                    Сагсай,"4,945.","5,046.","5,137.","5,259.","5,211.","5,229."
"                            1-р баг, Ямаат",585.,607.,602.,577.,565.,519.
"                            2-р баг, Хол агаш",613.,647.,663.,674.,646.,580.
"                            3-р баг, Ахкорим",812.,808.,810.,792.,764.,757.
