GID,NATIONAL,ADM,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,ADM4,TYPE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
G43,National,Western,Завхан,MN81,Идэр,MN8106,,Ямаа,5.9,6.06,5.99,6.08,6.36,6.72,7.45,7.01,7.88,7.93,8.3,8.97,8.05,8.19,8.49,8.01,7.87,8.06,7.02,7.44,7.29,7.07,7.66,7.15,9.32,10.44,13.08,15.96,17.67,18.11,17.83,13.96,15.52,18.9,24.29,30.39,38.83,49.42,54.84,36.25,25.83,29.31,33.32,33.64,37.6,39.9,41.5,40.05,38.82,35.06,34.33
G44,National,Western,Завхан,MN81,Идэр,MN8106,"1-р баг, Мануустай",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.15,12.25,13.13,14.48,15.86,14.59,14.09,11.96,11.98
G45,National,Western,Завхан,MN81,Идэр,MN8106,"2-р баг, Цэцэрлэг",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32,2.37,2.58,2.53,2.46,2.56,2.18,1.71,1.78
G46,National,Western,Завхан,MN81,Идэр,MN8106,"3-р баг, Загастай",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.98,8.88,10.23,10.73,11.06,10.65,9.96,9.26,9.31
G47,National,Western,Завхан,MN81,Идэр,MN8106,"4-р баг, Дархан-Уул",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.87,10.15,11.66,12.15,12.12,12.26,12.6,12.13,11.26
G48,National,Western,Завхан,MN81,Их-Уул,MN8101,,Ямаа,7.77,8.12,8.26,8.39,8.65,9.23,8.76,7.11,8.75,9.37,9.02,9.41,9.58,9.91,10.61,10.7,10.91,11.09,10.57,10.93,9.89,9.58,12.09,13.87,16.82,18.76,21.78,23.01,23.73,22.8,20,13.22,14.84,20.96,26.62,31.76,41.25,49.4,57.05,52.58,35.75,40.43,45.26,48.93,54.19,57.28,59.21,60.36,65.89,67.62,57.84
G49,National,Western,Завхан,MN81,Их-Уул,MN8101,"1-р баг, Баян-Ухаа",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.66,3.71,3.85,3.99,4.37,4.05,3.8,4.16,3.44
G50,National,Western,Завхан,MN81,Их-Уул,MN8101,"2-р баг, Үржил",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.16,6.57,7.56,8.04,8.32,8.84,9.55,9.17,7.68
G51,National,Western,Завхан,MN81,Их-Уул,MN8101,"3-р баг, Хуягт",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.62,10.11,11.33,12.61,13.7,13.45,14.98,14.41,12.23
G52,National,Western,Завхан,MN81,Их-Уул,MN8101,"4-р баг, Хонгор",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.09,10.84,11.91,11.79,12.24,12.8,14.3,15.28,12.34
G53,National,Western,Завхан,MN81,Их-Уул,MN8101,"5-р баг, Цэцүүх",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.39,7.85,8.67,9.06,9.18,9.75,11.01,11.92,11.19
G54,National,Western,Завхан,MN81,Их-Уул,MN8101,"6-р баг, Зарт",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.32,9.85,10.86,11.79,11.4,11.47,12.24,12.68,10.96
G55,National,Western,Завхан,MN81,Нөмрөг,MN8111,,Ямаа,5.16,5.12,5.18,5.05,4.88,5.07,5.23,4.55,5.16,5.46,5.64,5.42,5,4.86,4.76,4.74,4.69,5,5.48,6.46,6.57,4.44,3.78,4.75,6.55,8.91,11.57,13.72,15.42,14.37,11.4,7.45,9.2,14.38,17.43,22.47,29.58,35.95,35.04,27.3,15.39,18.44,19.7,22.49,26.75,29.65,32.29,29.59,31.19,37.99,33.22
G56,National,Western,Завхан,MN81,Нөмрөг,MN8111,"1-р баг, Хөдрөг",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,1.04,1.32,1.15,1.69,1.53,1.46,1.68,1.94
G57,National,Western,Завхан,MN81,Нөмрөг,MN8111,"2-р баг, Баянзүрх",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.12,4.76,5.48,6.71,7.16,6.68,7.54,9.02,6.9
G58,National,Western,Завхан,MN81,Нөмрөг,MN8111,"3-р баг, Дархан-Уул",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.34,4.6,5.5,6.15,5.9,5.73,6.43,6.8,5.94
G59,National,Western,Завхан,MN81,Нөмрөг,MN8111,"4-р баг, Нуур",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55,5.26,6.36,6.64,7.58,6.31,6.7,8.55,8.19
G60,National,Western,Завхан,MN81,Нөмрөг,MN8111,"5-р баг, Хайрхан",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,6.83,8.1,9,9.97,9.35,9.06,11.95,10.25
G61,National,Western,Завхан,MN81,Отгон,MN8107,,Ямаа,11.54,12.33,13.17,14.37,13.8,13.88,12.29,14.11,16.63,17.17,17.43,16.62,16.79,11.51,8.85,7.98,9.22,9.78,8.76,10.11,10.83,12.56,14.33,14.55,19.37,24.9,29.77,32.64,36.76,36,29.34,27.36,27.96,37.79,38.04,43.35,54.95,66.46,69.18,72.75,38.22,43.54,49.07,55.28,59.82,65.33,70.35,74.74,83.53,87.73,74.63
G62,National,Western,Завхан,MN81,Отгон,MN8107,"1-р баг, Буянт",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.61,9.99,11.89,12.83,13.9,14.76,17.55,17.56,16.65
G63,National,Western,Завхан,MN81,Отгон,MN8107,"2-р баг, Баянбулаг",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.83,11.81,13.08,15.06,16.15,16.35,18.37,18.92,17.24
G64,National,Western,Завхан,MN81,Отгон,MN8107,"3-р баг, Бадрал",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.79,15.15,14.75,15.53,16.12,16.69,18.18,19.08,15.21
G65,National,Western,Завхан,MN81,Отгон,MN8107,"4-р баг, Соёл",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.16,8.09,8.77,10.26,11.19,11.76,12.75,14.71,11.62
