Статистик үзүүлэлт,Статистик үзүүлэлт,Эдийн засгийн үйл ажиллагааны салбарын ангилал,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"        ДНБ, 2005 оны зэрэгцүүлэх үнээр","GDP, 2005 constant",Боловсрол,NaN,NaN,NaN,NaN,NaN,"83,579.3","85,908.9","90,121.4","95,657.2","100,046.4","101,513.4","103,486.7","107,961.3","100,505.1","90,900.6","86,528.6","89,529.7","90,357.5","96,087.4","100,168.8","99,089.4","100,752.2","102,230.4","102,841.8",NaN,NaN,NaN,NaN,NaN,NaN
"        ДНБ, 2005 оны зэрэгцүүлэх үнээр","GDP, 2005 constant",Хүний эрүүл мэнд ба нийгмийн үйл ажиллагаа,NaN,NaN,NaN,NaN,NaN,"32,695.6","33,706.7","34,805.1","35,144.0","35,691.4","35,455.7","36,350.1","37,342.0","36,024.2","36,359.5","37,516.9","40,641.1","44,476.2","46,581.0","47,910.3","50,138.4","45,365.5","46,684.6","47,957.0",NaN,NaN,NaN,NaN,NaN,NaN
"        ДНБ, 2005 оны зэрэгцүүлэх үнээр","GDP, 2005 constant","Урлаг, үзвэр, тоглоом, наадам",NaN,NaN,NaN,NaN,NaN,"3,115.2","3,107.9","3,323.1","3,488.3","3,453.6","4,062.6","5,138.3","6,378.6","6,660.3","7,432.6","7,744.5","8,134.1","8,660.7","9,882.0","9,315.0","11,475.0","9,912.7","14,694.0","19,806.2",NaN,NaN,NaN,NaN,NaN,NaN
"        ДНБ, 2005 оны зэрэгцүүлэх үнээр","GDP, 2005 constant",Үйлчилгээний бусад үйл ажиллагаа,NaN,NaN,NaN,NaN,NaN,"6,344.6","6,329.7","6,769.8","7,104.5","7,033.9","8,275.6","10,461.5","12,987.4","13,562.5","15,129.3","15,763.7","16,560.1","17,631.8","20,118.5","18,961.2","16,719.6","20,366.7","24,118.3","26,615.1",NaN,NaN,NaN,NaN,NaN,NaN
"        ДНБ, 2005 оны зэрэгцүүлэх үнээр","GDP, 2005 constant",Бүтээгдэхүүний цэвэр татвар,159.9,611.9,"1,556.0","5,914.3","13,519.5","39,125.6","47,474.2","72,332.8","89,616.9","114,581.9","177,798.3","228,423.4","254,052.1","268,301.8","308,187.4","311,737.9","383,359.9","409,529.3","480,154.2","393,954.1","569,929.4","900,151.5","902,712.9","921,751.4",NaN,NaN,NaN,NaN,NaN,NaN
"        ДНБ, 2010 оны зэрэгцүүлэх үнээр","GDP, 2010 constant",Бүгд,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"9,756,588.4","11,443,578.4","12,853,406.6","14,350,689.2","15,482,273.4","15,850,726.1","16,035,924.9","16,891,768.3","18,115,852.2","19,050,461.8"
"        ДНБ, 2010 оны зэрэгцүүлэх үнээр","GDP, 2010 constant","Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"1,144,697.9","1,141,074.1","1,381,284.7","1,646,183.5","1,871,396.9","2,071,966.1","2,200,717.1","2,240,489.0","2,340,627.9","2,537,907.4"
"        ДНБ, 2010 оны зэрэгцүүлэх үнээр","GDP, 2010 constant","Уул уурхай, олборлолт",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"2,102,157.9","2,263,685.0","2,452,170.4","2,905,821.9","3,469,332.6","3,957,728.1","3,964,083.8","3,745,574.8","3,972,871.3","3,956,432.5"
"        ДНБ, 2010 оны зэрэгцүүлэх үнээр","GDP, 2010 constant",Боловсруулах үйлдвэрлэл,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"664,815.3","717,050.9","779,721.8","859,681.2","895,656.4","919,390.6","912,052.7","1,093,301.5","1,264,516.1","1,402,246.3"
"        ДНБ, 2010 оны зэрэгцүүлэх үнээр","GDP, 2010 constant","Цахилгаан, хий, уур, агааржуулалт",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"190,211.6","203,113.3","213,226.6","224,762.8","238,597.3","249,342.5","254,216.0","268,151.4","290,225.4","307,296.7"
"        ДНБ, 2010 оны зэрэгцүүлэх үнээр","GDP, 2010 constant","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"31,210.6","31,895.3","31,546.1","33,316.8","33,077.7","30,752.7","30,204.1","30,613.1","33,116.6","33,230.6"
"        ДНБ, 2010 оны зэрэгцүүлэх үнээр","GDP, 2010 constant",Барилга,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"250,230.7","307,022.3","568,837.4","614,243.5","588,025.4","586,939.9","558,131.1","621,858.0","651,374.6","703,179.1"
"        ДНБ, 2010 оны зэрэгцүүлэх үнээр","GDP, 2010 constant","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"1,199,007.2","1,755,361.6","1,965,556.9","2,139,600.0","2,191,308.8","2,014,386.4","1,961,906.7","2,095,325.9","2,141,158.0","2,310,400.8"
"        ДНБ, 2010 оны зэрэгцүүлэх үнээр","GDP, 2010 constant",Тээвэр ба агуулахын үйл ажиллагаа,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"677,906.2","779,959.3","843,168.3","830,985.6","953,873.2","1,002,494.3","1,117,567.8","1,276,243.1","1,373,177.2","1,400,987.7"
"        ДНБ, 2010 оны зэрэгцүүлэх үнээр","GDP, 2010 constant","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"52,631.0","66,691.1","75,799.7","79,564.6","70,932.8","73,258.5","74,351.2","81,564.0","91,000.9","95,073.6"
"        ДНБ, 2010 оны зэрэгцүүлэх үнээр","GDP, 2010 constant","Мэдээлэл, холбоо",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"255,691.2","270,470.9","314,311.5","361,096.2","378,220.8","368,739.0","344,328.8","390,052.4","420,375.8","451,758.8"
"        ДНБ, 2010 оны зэрэгцүүлэх үнээр","GDP, 2010 constant",Санхүүгийн болон даатгалын үйл ажиллагаа,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"239,607.2","357,442.1","509,020.8","666,031.1","883,263.8","1,011,836.8","1,035,154.4","1,128,919.1","1,190,647.3","1,313,308.5"
"        ДНБ, 2010 оны зэрэгцүүлэх үнээр","GDP, 2010 constant",Үл хөдлөх хөрөнгийн үйл ажиллагаа,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"687,697.6","704,002.9","718,012.6","742,114.6","769,506.2","802,869.5","812,869.1","867,474.8","927,619.5","951,755.7"
"        ДНБ, 2010 оны зэрэгцүүлэх үнээр","GDP, 2010 constant","Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"132,327.3","133,824.7","135,340.1","146,013.4","163,993.3","163,723.4","151,602.7","142,601.1","152,897.3","167,003.0"
"        ДНБ, 2010 оны зэрэгцүүлэх үнээр","GDP, 2010 constant",Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"81,131.4","82,570.6","84,320.2","87,608.7","88,427.8","90,871.2","91,018.1","99,671.4","103,651.4","107,319.5"
"        ДНБ, 2010 оны зэрэгцүүлэх үнээр","GDP, 2010 constant","Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"425,350.3","387,494.1","408,031.3","423,600.1","434,276.3","447,416.3","447,162.5","452,528.4","455,119.6","477,135.7"
