HID,NATIONAL,REGION,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,ADM3,ADM4,TYPE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
H46,National,Western,Завхан,MN81,Идэр,MN8106,"3-р баг, Загастай","3-р баг, Загастай",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55,1.67,1.71,1.95,2.07,2.43,2.61,2.4,2.47
H47,National,Western,Завхан,MN81,Идэр,MN8106,"4-р баг, Дархан-Уул","4-р баг, Дархан-Уул",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,2.08,2.26,2.44,2.86,3.16,3.47,3.38,3.38
H48,National,Western,Завхан,MN81,Их-Уул,MN8101,Их-Уул,,Адуу,7.99,8.14,8.3,8.47,8.56,8.42,7.34,5.78,6.42,6.44,6.41,6.93,6.95,6.68,7.08,7.41,7.64,7.99,8.51,8.9,9.31,9.55,9.75,10.58,12.41,13.77,15.31,15.38,15.06,15.47,12.93,8.63,7.79,6.51,5.78,5.82,6.42,6.91,7.45,8.02,7.99,8.82,9.59,10.95,12.64,13.9,15.74,17.15,19.2,20.22,19.67
H49,National,Western,Завхан,MN81,Их-Уул,MN8101,"1-р баг, Баян-Ухаа","1-р баг, Баян-Ухаа",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,0.73,0.87,0.95,1.04,1.07,1.09,1.26,1.07
H50,National,Western,Завхан,MN81,Их-Уул,MN8101,"2-р баг, Үржил","2-р баг, Үржил",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,1.26,1.47,1.67,1.84,2.04,2.38,2.44,2.32
H51,National,Western,Завхан,MN81,Их-Уул,MN8101,"3-р баг, Хуягт","3-р баг, Хуягт",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17,2.6,2.96,3.3,4.02,4.32,4.76,4.93,4.8
H52,National,Western,Завхан,MN81,Их-Уул,MN8101,"4-р баг, Хонгор","4-р баг, Хонгор",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,1.62,1.88,2.05,2.48,2.76,3.01,3.27,3.14
H53,National,Western,Завхан,MN81,Их-Уул,MN8101,"5-р баг, Цэцүүх","5-р баг, Цэцүүх",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,2.03,2.32,2.43,2.63,2.95,3.34,3.6,3.6
H54,National,Western,Завхан,MN81,Их-Уул,MN8101,"6-р баг, Зарт","6-р баг, Зарт",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37,2.71,3.14,3.5,3.72,4,4.62,4.72,4.75
H55,National,Western,Завхан,MN81,Нөмрөг,MN8111,Нөмрөг,,Адуу,7.32,7.88,7.94,7.25,6.86,5.94,6.18,5.58,5.62,5.7,5.81,5.9,5.63,5.35,5.6,5.77,5.97,6.47,6.94,7.47,7.48,6.65,6.73,7.2,8.35,9.71,10.81,12.33,12.71,11.65,7.43,3.42,3.36,3.56,3.7,3.96,4.65,5.26,5.8,6.48,5.38,6.03,6.68,7.49,8.65,9.74,11.69,12.09,12.91,14.11,13.48
H56,National,Western,Завхан,MN81,Нөмрөг,MN8111,"1-р баг, Хөдрөг","1-р баг, Хөдрөг",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,0.53,0.63,0.72,0.89,1.04,1.14,1.05,1.24
H57,National,Western,Завхан,MN81,Нөмрөг,MN8111,"2-р баг, Баянзүрх","2-р баг, Баянзүрх",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,1.59,1.82,2.08,2.54,2.66,3.09,3.38,3.17
H58,National,Western,Завхан,MN81,Нөмрөг,MN8111,"3-р баг, Дархан-Уул","3-р баг, Дархан-Уул",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,1.71,1.97,2.18,2.41,2.6,2.77,2.74,2.39
H59,National,Western,Завхан,MN81,Нөмрөг,MN8111,"4-р баг, Нуур","4-р баг, Нуур",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38,1.48,1.71,2.14,2.58,2.51,2.75,2.99,3.11
H60,National,Western,Завхан,MN81,Нөмрөг,MN8111,"5-р баг, Хайрхан","5-р баг, Хайрхан",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,2.19,2.52,2.63,3.28,3.29,3.17,3.94,3.58
H61,National,Western,Завхан,MN81,Отгон,MN8107,Отгон,,Адуу,6.82,7.05,6.76,6.66,6.43,6.2,6.15,6.74,6.75,6.95,7.11,7.12,6.91,5.21,4.8,4.42,4.54,4.46,4.49,4.81,5.28,5.77,6.5,6.71,8.14,9.76,10.89,11.71,12.1,12.18,10.24,9.81,9.13,9.15,8.82,8.88,10.36,11.18,10.94,10.46,7.04,7.14,7.95,8.37,9.25,10.06,10.92,12.4,13.41,14.39,13.92
H62,National,Western,Завхан,MN81,Отгон,MN8107,"1-р баг, Буянт","1-р баг, Буянт",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87,1.8,2.01,2.08,2.17,2.56,2.78,2.88,2.9
H63,National,Western,Завхан,MN81,Отгон,MN8107,"2-р баг, Баянбулаг","2-р баг, Баянбулаг",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,1.6,1.74,2.01,2.15,2.34,2.5,2.64,2.67
H64,National,Western,Завхан,MN81,Отгон,MN8107,"3-р баг, Бадрал","3-р баг, Бадрал",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85,2.21,2.35,2.58,2.86,3.04,3.31,3.53,3.47
H65,National,Western,Завхан,MN81,Отгон,MN8107,"4-р баг, Соёл","4-р баг, Соёл",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,1.17,1.3,1.47,1.58,1.76,1.88,1.99,1.8
H66,National,Western,Завхан,MN81,Отгон,MN8107,"5-р баг, Онц","5-р баг, Онц",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.98,1.2,1.27,1.4,1.74,1.98,2.25,1.87
H67,National,Western,Завхан,MN81,Отгон,MN8107,"6-р баг, Хужирт","6-р баг, Хужирт",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,0.61,0.66,0.66,0.76,0.96,0.95,1.12,1.21
H68,National,Western,Завхан,MN81,Сантмаргац,MN8126,Сантмаргац,,Адуу,4.62,5.22,5.02,5.2,5.17,4.82,4.6,4.48,4.09,3.82,3.79,3.45,4.02,4.13,4.05,4.36,4.69,4.72,5.16,5.61,5.53,4.91,4.5,5.19,6.34,6.97,7.12,7.12,7.72,6.31,3.68,3.78,3.66,4.65,4.95,5.3,6.07,6.88,6.07,4.62,4.01,4.43,5.04,5.57,6.54,7.11,7.74,8.81,9.39,10.94,10.82
